Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Gruppe G,Sat May 27 2023,19:00,-0300,Maringá PR,2-0,0-0,Operário de Campo Grande MS,,2023-05-27T22:00Z
Gruppe D,Sat May 27 2023,16:00,-0300,Sergipe SE,2-1,2-0,ASA AL,,2023-05-27T19:00Z
Gruppe A,Sat May 27 2023,16:00,-0300,Trem AP,0-1,0-0,Nacional AM,,2023-05-27T19:00Z
Gruppe A,Sat May 27 2023,18:00,-0300,Humaitá AC,1-1,1-0,Tuna Luso PA,,2023-05-27T21:00Z
Gruppe A,Sun May 28 2023,17:00,-0300,Princesa do Solimões AM,1-1,1-0,São Raimundo RR,,2023-05-28T20:00Z
Gruppe E,Sun May 28 2023,16:00,-0300,Real Ariquemes RO,0-1,0-0,Brasiliense DF,,2023-05-28T19:00Z
Gruppe C,Sun May 28 2023,17:00,-0300,Potiguar de Mossoró RN,1-0,0-0,Iguatu CE,,2023-05-28T20:00Z
Gruppe E,Sun May 28 2023,15:30,-0300,Iporá GO,1-0,1-0,União Rondonópolis MT,,2023-05-28T18:30Z
Gruppe B,Sun May 28 2023,16:00,-0300,Tocantinópolis TO,2-0,0-0,Atlético Cearense CE,,2023-05-28T19:00Z
Gruppe B,Sun May 28 2023,17:00,-0300,Ferroviário CE,1-0,1-0,Caucaia CE,,2023-05-28T20:00Z
Gruppe D,Sun May 28 2023,16:00,-0300,Cruzeiro AL,1-1,1-1,Falcon SE,,2023-05-28T19:00Z
Gruppe H,Sun May 28 2023,16:00,-0300,Aimoré RS,1-1,1-1,Novo Hamburgo RS,,2023-05-28T19:00Z
Gruppe H,Sun May 28 2023,15:00,-0300,Concórdia SC,1-1,0-0,Independente PR,,2023-05-28T18:00Z
Gruppe B,Sun May 28 2023,15:30,-0300,Fluminense PI,0-0,0-0,Cordino MA,,2023-05-28T18:30Z
Gruppe C,Sun May 28 2023,16:00,-0300,Sousa PB,2-1,1-1,Campinense PB,,2023-05-28T19:00Z
Gruppe C,Sun May 28 2023,16:00,-0300,Nacional PB,2-2,0-1,Santa Cruz PE,,2023-05-28T19:00Z
Gruppe A,Mon May 29 2023,20:00,-0300,Águia de Marabá PA,2-0,0-0,São Francisco AC,,2023-05-29T23:00Z
Gruppe C,Thu Jun 1 2023,17:00,-0300,Campinense PB,1-0,0-0,Nacional PB,,2023-06-01T20:00Z
Gruppe C,Sat Jun 3 2023,16:00,-0300,Santa Cruz PE,1-0,1-0,Sousa PB,,2023-06-03T19:00Z
Gruppe C,Sat Jun 3 2023,19:00,-0300,Pacajus CE,2-0,2-0,Potiguar de Mossoró RN,,2023-06-03T22:00Z
Gruppe B,Sat Jun 3 2023,15:00,-0300,Atlético Cearense CE,0-2,0-1,Ferroviário CE,,2023-06-03T18:00Z
Gruppe B,Sat Jun 3 2023,16:00,-0300,Maranhão MA,2-0,2-0,Fluminense PI,,2023-06-03T19:00Z
Gruppe B,Sat Jun 3 2023,19:00,-0300,Parnahyba PI,3-0,2-0,Cordino MA,,2023-06-03T22:00Z
Gruppe D,Sat Jun 3 2023,17:00,-0300,Atlético de Alagoinhas BA,0-0,0-0,Bahia de Feira BA,,2023-06-03T20:00Z
Gruppe D,Sat Jun 3 2023,17:00,-0300,Cruzeiro AL,0-3,0-2,Sergipe SE,,2023-06-03T20:00Z
Gruppe F,Sat Jun 3 2023,18:00,-0300,Portuguesa RJ,3-0,3-0,Santo André SP,,2023-06-03T21:00Z
Gruppe F,Sat Jun 3 2023,15:00,-0300,Resende FC RJ,3-1,2-1,Nova Iguaçu RJ,,2023-06-03T18:00Z
Gruppe E,Sat Jun 3 2023,17:00,-0300,Anápolis FC GO,1-0,0-0,União Rondonópolis MT,,2023-06-03T20:00Z
Gruppe E,Sat Jun 3 2023,16:00,-0300,Operário MT,2-1,2-1,Iporá GO,,2023-06-03T19:00Z
Gruppe E,Sat Jun 3 2023,16:00,-0300,Interporto TO,1-1,0-0,Real Ariquemes RO,,2023-06-03T19:00Z
Gruppe E,Sat Jun 3 2023,16:00,-0300,Brasiliense DF,0-0,0-0,Ceilândia DF,,2023-06-03T19:00Z
Gruppe G,Sat Jun 3 2023,16:00,-0300,Cascavel FC PR,1-1,1-0,Operário de Campo Grande MS,,2023-06-03T19:00Z
Gruppe G,Sat Jun 3 2023,16:00,-0300,Inter de Limeira SP,3-6,1-2,XV de Piracicaba SP,,2023-06-03T19:00Z
Gruppe G,Sat Jun 3 2023,17:00,-0300,Ferroviária SP,0-0,0-0,CRAC GO,,2023-06-03T20:00Z
Gruppe G,Sat Jun 3 2023,18:00,-0300,Atlético Patrocinense MG,0-0,0-0,Maringá PR,,2023-06-03T21:00Z
Gruppe F,Sat Jun 3 2023,15:00,-0300,Vitória ES,1-2,0-2,Athletic MG,,2023-06-03T18:00Z
Gruppe H,Sat Jun 3 2023,15:30,-0300,Independente PR,2-0,1-0,Camboriú SC,,2023-06-03T18:30Z
Gruppe D,Sat Jun 3 2023,16:00,-0300,Falcon SE,0-1,0-1,ASA AL,,2023-06-03T19:00Z
Gruppe C,Sun Jun 4 2023,15:30,-0300,Globo RN,2-1,1-0,Iguatu CE,,2023-06-04T18:30Z
Gruppe A,Sun Jun 4 2023,15:00,-0300,Tuna Luso PA,0-0,0-0,Águia de Marabá PA,,2023-06-04T18:00Z
Gruppe A,Sun Jun 4 2023,16:00,-0300,Nacional AM,3-0,1-0,São Raimundo RR,,2023-06-04T19:00Z
Gruppe A,Sun Jun 4 2023,18:00,-0300,São Francisco AC,1-4,0-1,Humaitá AC,,2023-06-04T21:00Z
Gruppe H,Sun Jun 4 2023,18:00,-0300,Novo Hamburgo RS,0-2,0-0,S.E.R. Caxias RS,,2023-06-04T21:00Z
Gruppe B,Sun Jun 4 2023,16:00,-0300,Caucaia CE,3-3,1-2,Tocantinópolis TO,,2023-06-04T19:00Z
Gruppe D,Sun Jun 4 2023,16:00,-0300,Jacuipense BA,0-1,0-1,Retrô PE,,2023-06-04T19:00Z
Gruppe F,Sun Jun 4 2023,16:00,-0300,Democrata Gov. Valadares MG,2-2,0-1,Real Noroeste ES,,2023-06-04T19:00Z
Gruppe H,Sun Jun 4 2023,15:00,-0300,Concórdia SC,0-1,0-0,Hercílio Luz SC,,2023-06-04T18:00Z
Gruppe H,Sun Jun 4 2023,16:00,-0300,Brasil de Pelotas RS,2-2,1-0,Aimoré RS,,2023-06-04T19:00Z
Gruppe A,Mon Jun 5 2023,20:00,-0300,Trem AP,1-1,1-0,Princesa do Solimões AM,,2023-06-05T23:00Z
Gruppe C,Tue Jun 6 2023,20:00,-0300,Potiguar de Mossoró RN,2-1,2-1,Sousa PB,,2023-06-06T23:00Z
Gruppe H,Wed Jun 7 2023,19:00,-0300,Camboriú SC,0-2,0-1,Brasil de Pelotas RS,,2023-06-07T22:00Z
Gruppe G,Wed Jun 7 2023,20:00,-0300,XV de Piracicaba SP,1-2,0-1,Cascavel FC PR,,2023-06-07T23:00Z
Gruppe G,Wed Jun 7 2023,19:00,-0300,Ferroviária SP,1-1,1-1,Atlético Patrocinense MG,,2023-06-07T22:00Z
Gruppe E,Wed Jun 7 2023,15:30,-0300,Ceilândia DF,1-1,1-1,Anápolis FC GO,,2023-06-07T18:30Z
Gruppe E,Wed Jun 7 2023,15:30,-0300,Iporá GO,2-0,0-0,Real Ariquemes RO,,2023-06-07T18:30Z
Gruppe H,Wed Jun 7 2023,19:00,-0300,Hercílio Luz SC,2-2,2-2,S.E.R. Caxias RS,,2023-06-07T22:00Z
Gruppe F,Wed Jun 7 2023,19:00,-0300,Real Noroeste ES,0-1,0-0,Resende FC RJ,,2023-06-07T22:00Z
Gruppe G,Wed Jun 7 2023,20:00,-0300,Maringá PR,0-1,0-0,CRAC GO,,2023-06-07T23:00Z
Gruppe F,Wed Jun 7 2023,15:00,-0300,Nova Iguaçu RJ,0-0,0-0,Democrata Gov. Valadares MG,,2023-06-07T18:00Z
Gruppe F,Wed Jun 7 2023,19:00,-0300,Athletic MG,4-2,1-1,Santo André SP,,2023-06-07T22:00Z
Gruppe D,Wed Jun 7 2023,20:00,-0300,Sergipe SE,0-1,0-1,Retrô PE,,2023-06-07T23:00Z
Gruppe D,Wed Jun 7 2023,20:00,-0300,ASA AL,0-1,0-1,Atlético de Alagoinhas BA,,2023-06-07T23:00Z
Gruppe D,Wed Jun 7 2023,19:00,-0300,Bahia de Feira BA,3-1,1-0,Falcon SE,,2023-06-07T22:00Z
Gruppe H,Wed Jun 7 2023,20:00,-0300,Novo Hamburgo RS,1-2,1-1,Concórdia SC,,2023-06-07T23:00Z
Gruppe E,Wed Jun 7 2023,16:00,-0300,União Rondonópolis MT,2-0,0-0,Brasiliense DF,,2023-06-07T19:00Z
Gruppe E,Wed Jun 7 2023,16:00,-0300,Interporto TO,0-2,0-0,Operário MT,,2023-06-07T19:00Z
Gruppe B,Wed Jun 7 2023,20:00,-0300,Ferroviário CE,6-0,2-0,Parnahyba PI,,2023-06-07T23:00Z
Gruppe B,Wed Jun 7 2023,19:00,-0300,Cordino MA,2-2,1-2,Atlético Cearense CE,,2023-06-07T22:00Z
Gruppe B,Wed Jun 7 2023,15:30,-0300,Fluminense PI,1-0,1-0,Tocantinópolis TO,,2023-06-07T18:30Z
Gruppe A,Wed Jun 7 2023,20:00,-0300,Águia de Marabá PA,1-1,0-1,Nacional AM,,2023-06-07T23:00Z
Gruppe C,Wed Jun 7 2023,20:00,-0300,Nacional PB,2-1,1-1,Globo RN,,2023-06-07T23:00Z
Gruppe F,Wed Jun 7 2023,20:00,-0300,Portuguesa RJ,3-2,3-1,Vitória ES,,2023-06-07T23:00Z
Gruppe G,Wed Jun 7 2023,21:00,-0300,Operário de Campo Grande MS,1-0,0-0,Inter de Limeira SP,,2023-06-08T00:00Z
Gruppe H,Wed Jun 7 2023,20:00,-0300,Aimoré RS,1-0,1-0,Independente PR,,2023-06-07T23:00Z
Gruppe B,Thu Jun 8 2023,16:00,-0300,Caucaia CE,0-0,0-0,Maranhão MA,,2023-06-08T19:00Z
Gruppe A,Thu Jun 8 2023,18:00,-0300,São Raimundo RR,2-2,1-1,Tuna Luso PA,,2023-06-08T21:00Z
Gruppe A,Thu Jun 8 2023,18:00,-0300,São Francisco AC,1-0,1-0,Trem AP,,2023-06-08T21:00Z
Gruppe A,Thu Jun 8 2023,19:00,-0300,Princesa do Solimões AM,5-0,4-0,Humaitá AC,,2023-06-08T22:00Z
Gruppe C,Thu Jun 8 2023,19:30,-0300,Santa Cruz PE,0-0,0-0,Pacajus CE,,2023-06-08T22:30Z
Gruppe C,Thu Jun 8 2023,19:00,-0300,Iguatu CE,3-1,3-0,Campinense PB,,2023-06-08T22:00Z
Gruppe D,Thu Jun 8 2023,19:00,-0300,Jacuipense BA,4-1,2-0,Cruzeiro AL,,2023-06-08T22:00Z
Gruppe D,Sat Jun 10 2023,17:00,-0300,Atlético de Alagoinhas BA,1-1,1-1,Sergipe SE,,2023-06-10T20:00Z
Gruppe B,Sat Jun 10 2023,15:00,-0300,Atlético Cearense CE,1-1,0-0,Fluminense PI,,2023-06-10T18:00Z
Gruppe H,Sat Jun 10 2023,15:00,-0300,S.E.R. Caxias RS,1-0,0-0,Camboriú SC,,2023-06-10T18:00Z
Gruppe G,Sat Jun 10 2023,18:00,-0300,CRAC GO,4-0,1-0,Operário de Campo Grande MS,,2023-06-10T21:00Z
Gruppe G,Sat Jun 10 2023,17:00,-0300,Inter de Limeira SP,1-0,1-0,Maringá PR,,2023-06-10T20:00Z
Gruppe E,Sat Jun 10 2023,17:00,-0300,Anápolis FC GO,7-0,4-0,Interporto TO,,2023-06-10T20:00Z
Gruppe G,Sat Jun 10 2023,16:00,-0300,Cascavel FC PR,1-5,0-4,Ferroviária SP,,2023-06-10T19:00Z
Gruppe G,Sat Jun 10 2023,16:00,-0300,Atlético Patrocinense MG,2-0,1-0,XV de Piracicaba SP,,2023-06-10T19:00Z
Gruppe C,Sat Jun 10 2023,17:00,-0300,Campinense PB,1-0,1-0,Potiguar de Mossoró RN,,2023-06-10T20:00Z
Gruppe F,Sat Jun 10 2023,15:00,-0300,Vitória ES,3-2,0-1,Nova Iguaçu RJ,,2023-06-10T18:00Z
Gruppe F,Sat Jun 10 2023,15:00,-0300,Santo André SP,2-0,1-0,Real Noroeste ES,,2023-06-10T18:00Z
Gruppe B,Sun Jun 11 2023,16:00,-0300,Maranhão MA,1-1,0-0,Ferroviário CE,,2023-06-11T19:00Z
Gruppe F,Sun Jun 11 2023,15:00,-0300,Resende FC RJ,0-0,0-0,Athletic MG,,2023-06-11T18:00Z
Gruppe F,Sun Jun 11 2023,16:00,-0300,Democrata Gov. Valadares MG,1-0,0-0,Portuguesa RJ,,2023-06-11T19:00Z
Gruppe C,Sun Jun 11 2023,15:30,-0300,Globo RN,0-2,0-1,Santa Cruz PE,,2023-06-11T18:30Z
Gruppe C,Sun Jun 11 2023,16:00,-0300,Pacajus CE,1-0,0-0,Nacional PB,,2023-06-11T19:00Z
