Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
,27,Sat Mar 16 2024,18:15,CET/+0100,AC Juvenes/Dogana,4-1,2-1,AC Libertas,,2024-03-16T17:15Z
,27,Sun Mar 17 2024,15:00,CET/+0100,FC Fiorentino,2-0,2-0,FC Domagnano,,2024-03-17T14:00Z
,27,Sun Mar 17 2024,15:00,CET/+0100,SS Pennarossa,4-3,1-2,SC Faetano,,2024-03-17T14:00Z
,27,Sun Mar 17 2024,15:00,CET/+0100,SP Cailungo,0-4,0-1,SS San Giovanni,,2024-03-17T14:00Z
,28,Sat Apr 6 2024,15:00,CEST/+0200,FC Domagnano,2-0,1-0,San Marino Academy,,2024-04-06T13:00Z
,28,Sat Apr 6 2024,15:00,CEST/+0200,SC Faetano,0-3,0-1,AC Juvenes/Dogana,,2024-04-06T13:00Z
,28,Sat Apr 6 2024,15:00,CEST/+0200,SS Murata,1-0,0-0,SS Cosmos,,2024-04-06T13:00Z
,28,Sat Apr 6 2024,15:00,CEST/+0200,SS San Giovanni,9-0,3-0,SS Pennarossa,,2024-04-06T13:00Z
,28,Sat Apr 6 2024,18:15,CEST/+0200,SS Folgore/Falciano,2-2,1-1,FC Fiorentino,,2024-04-06T16:15Z
,28,Sun Apr 7 2024,15:00,CEST/+0200,AC Libertas,1-2,1-0,SP Tre Fiori,,2024-04-07T13:00Z
,28,Sun Apr 7 2024,15:00,CEST/+0200,SP La Fiorita,3-2,2-1,SP Tre Penne,,2024-04-07T13:00Z
,28,Sun Apr 7 2024,15:00,CEST/+0200,SP Cailungo,0-3,0-1,SS Virtus,,2024-04-07T13:00Z
,29,Sat Apr 13 2024,15:00,CEST/+0200,SS Pennarossa,2-4,1-1,SS Folgore/Falciano,,2024-04-13T13:00Z
,29,Sat Apr 13 2024,15:00,CEST/+0200,San Marino Academy,0-7,0-5,SS Murata,,2024-04-13T13:00Z
,29,Sat Apr 13 2024,15:00,CEST/+0200,SP Tre Fiori,2-1,1-1,SP Tre Penne,,2024-04-13T13:00Z
,29,Sat Apr 13 2024,15:00,CEST/+0200,SS Cosmos,0-1,0-1,AC Libertas,,2024-04-13T13:00Z
,29,Sun Apr 14 2024,15:00,CEST/+0200,AC Juvenes/Dogana,1-0,1-0,SP Cailungo,,2024-04-14T13:00Z
,29,Sun Apr 14 2024,15:00,CEST/+0200,SP La Fiorita,2-0,1-0,FC Domagnano,,2024-04-14T13:00Z
,29,Sun Apr 14 2024,15:00,CEST/+0200,SS Virtus,4-1,2-1,SS San Giovanni,,2024-04-14T13:00Z
,29,Sun Apr 14 2024,15:00,CEST/+0200,FC Fiorentino,1-3,0-2,SC Faetano,,2024-04-14T13:00Z
,30,Sat Apr 20 2024,15:00,CEST/+0200,SP Cailungo,0-2,0-1,SP La Fiorita,,2024-04-20T13:00Z
,30,Sat Apr 20 2024,15:00,CEST/+0200,FC Domagnano,1-1,0-0,SP Tre Fiori,,2024-04-20T13:00Z
,30,Sat Apr 20 2024,15:00,CEST/+0200,SC Faetano,0-3,0-1,SS Cosmos,,2024-04-20T13:00Z
,30,Sat Apr 20 2024,15:00,CEST/+0200,SS Murata,3-0,1-0,FC Fiorentino,,2024-04-20T13:00Z
,30,Sat Apr 20 2024,15:00,CEST/+0200,SP Tre Penne,0-1,0-0,SS Virtus,,2024-04-20T13:00Z
,30,Sun Apr 21 2024,15:00,CEST/+0200,AC Libertas,0-2,0-1,SS Pennarossa,,2024-04-21T13:00Z
,30,Sun Apr 21 2024,18:15,CEST/+0200,SS Folgore/Falciano,1-1,0-1,San Marino Academy,,2024-04-21T16:15Z
,30,Sun Apr 21 2024,15:00,CEST/+0200,AC Juvenes/Dogana,1-2,0-0,SS San Giovanni,,2024-04-21T13:00Z
ECL Playoffs,Round 1,Wed Apr 24 2024,20:45,CEST/+0200,SS Folgore/Falciano,2-0,1-0,FC Fiorentino,,2024-04-24T18:45Z
ECL Playoffs,Round 1,Wed Apr 24 2024,20:45,CEST/+0200,AC Juvenes/Dogana,3-2,1-2,FC Domagnano,,2024-04-24T18:45Z
ECL Playoffs,Quarterfinals,Sat Apr 27 2024,15:00,CEST/+0200,SP Tre Fiori,0-0,0-0,SS Murata,,2024-04-27T13:00Z
ECL Playoffs,Quarterfinals,Sat Apr 27 2024,18:15,CEST/+0200,SS Cosmos,1-2,1-1,SS San Giovanni,,2024-04-27T16:15Z
ECL Playoffs,Quarterfinals,Sun Apr 28 2024,17:30,CEST/+0200,SP Tre Penne,3-0,2-0,AC Juvenes/Dogana,,2024-04-28T15:30Z
ECL Playoffs,Quarterfinals,Sun Apr 28 2024,15:00,CEST/+0200,SP La Fiorita,1-0,1-0,SS Folgore/Falciano,,2024-04-28T13:00Z
ECL Playoffs,Quarterfinals,Tue Apr 30 2024,20:45,CEST/+0200,SS San Giovanni,0-3,0-0,SS Cosmos,,2024-04-30T18:45Z
ECL Playoffs,Quarterfinals,Tue Apr 30 2024,20:45,CEST/+0200,SS Murata,2-1,1-1,SP Tre Fiori,,2024-04-30T18:45Z
ECL Playoffs,Quarterfinals,Wed May 1 2024,20:45,CEST/+0200,AC Juvenes/Dogana,4-2,1-1,SP Tre Penne,,2024-05-01T18:45Z
ECL Playoffs,Quarterfinals,Wed May 1 2024,20:45,CEST/+0200,SS Folgore/Falciano,0-0,0-0,SP La Fiorita,,2024-05-01T18:45Z
ECL Playoffs,Semifinals,Sat May 4 2024,15:00,CEST/+0200,SP La Fiorita,1-3,0-2,SS Murata,,2024-05-04T13:00Z
ECL Playoffs,Semifinals,Sat May 4 2024,17:30,CEST/+0200,SS Cosmos,1-1,1-0,SP Tre Penne,,2024-05-04T15:30Z
ECL Playoffs,Semifinals,Sat May 11 2024,17:30,CEST/+0200,SS Murata,0-1,0-1,SP La Fiorita,,2024-05-11T15:30Z
ECL Playoffs,Semifinals,Sat May 11 2024,15:00,CEST/+0200,SP Tre Penne,0-0,0-0,SS Cosmos,,2024-05-11T13:00Z
ECL Playoffs,Spiel um Platz 3,Fri May 17 2024,20:45,CEST/+0200,SP La Fiorita,2-0,0-0,SS Cosmos,,2024-05-17T18:45Z
ECL Playoffs,Final,Sat May 18 2024,20:45,CEST/+0200,SS Murata,1-1,1-0,SP Tre Penne,2-3,2024-05-18T18:45Z
