Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
14,Sat Nov 25 2023,19:30,CET/+0100,Mezőkövesdi SE,4-0,2-0,Újpest FC,2023-11-25T18:30Z
14,Sun Nov 26 2023,19:30,CET/+0100,Fehérvár FC,3-3,1-1,Kecskeméti TE,2023-11-26T18:30Z
14,Sun Nov 26 2023,17:00,CET/+0100,Puskás FC,1-1,0-1,Ferencvárosi TC,2023-11-26T16:00Z
15,Sat Dec 2 2023,13:00,CET/+0100,Kecskeméti TE,1-2,1-1,MTK Budapest,2023-12-02T12:00Z
15,Sat Dec 2 2023,15:30,CET/+0100,Fehérvár FC,3-1,2-0,Puskás FC,2023-12-02T14:30Z
15,Sat Dec 2 2023,19:30,CET/+0100,Kisvárda FC,0-0,0-0,Debreceni VSC,2023-12-02T18:30Z
15,Sun Dec 3 2023,17:45,CET/+0100,Ferencvárosi TC,0-0,0-0,Mezőkövesdi SE,2023-12-03T16:45Z
15,Sun Dec 3 2023,12:45,CET/+0100,Újpest FC,1-2,1-1,Paksi SE,2023-12-03T11:45Z
15,Sun Dec 3 2023,15:15,CET/+0100,Diósgyöri VTK,0-3,0-0,Zalaegerszegi TE,2023-12-03T14:15Z
4,Wed Dec 6 2023,19:30,CET/+0100,Mezőkövesdi SE,0-2,0-1,Ferencvárosi TC,2023-12-06T18:30Z
16,Fri Dec 8 2023,20:00,CET/+0100,Puskás FC,3-0,1-0,Kecskeméti TE,2023-12-08T19:00Z
16,Sat Dec 9 2023,15:45,CET/+0100,Zalaegerszegi TE,1-1,0-0,Újpest FC,2023-12-09T14:45Z
16,Sat Dec 9 2023,13:15,CET/+0100,MTK Budapest,2-1,1-0,Debreceni VSC,2023-12-09T12:15Z
16,Sun Dec 10 2023,13:00,CET/+0100,Kisvárda FC,1-2,0-1,Diósgyöri VTK,2023-12-10T12:00Z
16,Sun Dec 10 2023,15:30,CET/+0100,Mezőkövesdi SE,0-2,0-0,Fehérvár FC,2023-12-10T14:30Z
16,Sun Dec 10 2023,18:00,CET/+0100,Paksi SE,3-2,2-0,Ferencvárosi TC,2023-12-10T17:00Z
17,Sat Dec 16 2023,15:00,CET/+0100,Kisvárda FC,4-0,1-0,Újpest FC,2023-12-16T14:00Z
17,Sat Dec 16 2023,17:30,CET/+0100,Diósgyöri VTK,3-3,1-1,MTK Budapest,2023-12-16T16:30Z
17,Sat Dec 16 2023,12:30,CET/+0100,Fehérvár FC,3-0,2-0,Paksi SE,2023-12-16T11:30Z
17,Sun Dec 17 2023,13:30,CET/+0100,Kecskeméti TE,1-1,0-1,Debreceni VSC,2023-12-17T12:30Z
17,Sun Dec 17 2023,16:00,CET/+0100,Ferencvárosi TC,3-0,0-0,Zalaegerszegi TE,2023-12-17T15:00Z
