Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
Playoffs - Relegation,4,Mon Mar 11 2024,19:00,EET/+0200,Apollon Limassol,2-2,2-2,Ethnikos Achna,,2024-03-11T17:00Z
Playoffs - Relegation,4,Mon Mar 11 2024,17:00,EET/+0200,Doxa Katokopias,2-1,1-1,AE Zakakiou,,2024-03-11T15:00Z
Playoffs - Relegation,5,Fri Mar 15 2024,19:00,EET/+0200,Karmiotissa Polemidion,0-0,0-0,Apollon Limassol,,2024-03-15T17:00Z
Playoffs - Relegation,5,Fri Mar 15 2024,19:00,EET/+0200,AEL Limassol,0-0,0-0,Doxa Katokopias,,2024-03-15T17:00Z
Championship,4,Sat Mar 16 2024,16:00,EET/+0200,APOEL Nikosia,0-1,0-1,Omonia Nikosia,,2024-03-16T14:00Z
Playoffs - Relegation,5,Sat Mar 16 2024,19:00,EET/+0200,AE Zakakiou,0-4,0-3,Othellos Athienou,,2024-03-16T17:00Z
Championship,4,Sat Mar 16 2024,19:00,EET/+0200,Paphos FC,1-0,0-0,Aris Limassol,,2024-03-16T17:00Z
Playoffs - Relegation,5,Sun Mar 17 2024,17:00,EET/+0200,Ethnikos Achna,2-0,1-0,Nea Salamina,,2024-03-17T15:00Z
Championship,4,Sun Mar 17 2024,17:00,EET/+0200,Anorthosis Famagusta,0-1,0-0,AEK Larnaca,,2024-03-17T15:00Z
Playoffs - Relegation,6,Fri Mar 29 2024,19:00,EET/+0200,Apollon Limassol,1-0,0-0,AE Zakakiou,,2024-03-29T17:00Z
Playoffs - Relegation,6,Fri Mar 29 2024,19:00,EET/+0200,Doxa Katokopias,0-1,0-1,Othellos Athienou,,2024-03-29T17:00Z
Playoffs - Relegation,6,Sat Mar 30 2024,19:00,EET/+0200,Nea Salamina,0-2,0-1,Karmiotissa Polemidion,,2024-03-30T17:00Z
Playoffs - Relegation,6,Sat Mar 30 2024,19:00,EET/+0200,AEL Limassol,1-1,0-0,Ethnikos Achna,,2024-03-30T17:00Z
Championship,5,Sun Mar 31 2024,19:30,EEST/+0300,Omonia Nikosia,1-1,1-0,Paphos FC,,2024-03-31T16:30Z
Championship,5,Sun Mar 31 2024,19:00,EEST/+0300,Aris Limassol,1-1,0-1,Anorthosis Famagusta,,2024-03-31T16:00Z
Championship,5,Sun Mar 31 2024,17:00,EEST/+0300,AEK Larnaca,1-2,1-0,APOEL Nikosia,,2024-03-31T14:00Z
Playoffs - Relegation,7,Wed Apr 3 2024,19:00,EEST/+0300,Karmiotissa Polemidion,0-0,0-0,AEL Limassol,,2024-04-03T16:00Z
Playoffs - Relegation,7,Wed Apr 3 2024,17:00,EEST/+0300,Ethnikos Achna,1-2,1-1,Doxa Katokopias,,2024-04-03T14:00Z
Playoffs - Relegation,7,Wed Apr 3 2024,19:00,EEST/+0300,Othellos Athienou,0-1,0-1,Apollon Limassol,,2024-04-03T16:00Z
Playoffs - Relegation,7,Thu Apr 4 2024,19:00,EEST/+0300,AE Zakakiou,0-3,0-1,Nea Salamina,,2024-04-04T16:00Z
Championship,6,Sat Apr 6 2024,19:30,EEST/+0300,AEK Larnaca,3-0,3-0,Paphos FC,,2024-04-06T16:30Z
Championship,6,Sat Apr 6 2024,17:00,EEST/+0300,Omonia Nikosia,3-0,0-0,Aris Limassol,,2024-04-06T14:00Z
Playoffs - Relegation,8,Sat Apr 6 2024,18:00,EEST/+0300,Doxa Katokopias,0-2,0-1,Apollon Limassol,,2024-04-06T15:00Z
Championship,6,Sun Apr 7 2024,17:00,EEST/+0300,APOEL Nikosia,0-2,0-1,Anorthosis Famagusta,,2024-04-07T14:00Z
Playoffs - Relegation,8,Sun Apr 7 2024,19:30,EEST/+0300,Karmiotissa Polemidion,1-4,1-0,Ethnikos Achna,,2024-04-07T16:30Z
Playoffs - Relegation,8,Sun Apr 7 2024,19:00,EEST/+0300,Othellos Athienou,2-3,1-2,Nea Salamina,,2024-04-07T16:00Z
Playoffs - Relegation,8,Mon Apr 8 2024,19:00,EEST/+0300,AE Zakakiou,1-5,0-3,AEL Limassol,,2024-04-08T16:00Z
Playoffs - Relegation,9,Fri Apr 12 2024,19:00,EEST/+0300,AEL Limassol,3-2,3-0,Othellos Athienou,,2024-04-12T16:00Z
Playoffs - Relegation,9,Sat Apr 13 2024,18:00,EEST/+0300,Karmiotissa Polemidion,2-1,1-0,Doxa Katokopias,,2024-04-13T15:00Z
Playoffs - Relegation,9,Sat Apr 13 2024,17:00,EEST/+0300,Nea Salamina,0-2,0-1,Apollon Limassol,,2024-04-13T14:00Z
Playoffs - Relegation,9,Sat Apr 13 2024,19:00,EEST/+0300,Ethnikos Achna,6-2,2-1,AE Zakakiou,,2024-04-13T16:00Z
Championship,7,Sun Apr 14 2024,19:00,EEST/+0300,Aris Limassol,0-1,0-0,AEK Larnaca,,2024-04-14T16:00Z
Championship,7,Sun Apr 14 2024,17:00,EEST/+0300,Paphos FC,0-2,0-0,APOEL Nikosia,,2024-04-14T14:00Z
Championship,7,Sun Apr 14 2024,19:30,EEST/+0300,Anorthosis Famagusta,0-2,0-0,Omonia Nikosia,,2024-04-14T16:30Z
Playoffs - Relegation,10,Fri Apr 19 2024,19:00,EEST/+0300,Othellos Athienou,2-1,2-0,Ethnikos Achna,,2024-04-19T16:00Z
Playoffs - Relegation,10,Fri Apr 19 2024,19:00,EEST/+0300,Doxa Katokopias,1-0,0-0,Nea Salamina,,2024-04-19T16:00Z
Playoffs - Relegation,10,Sat Apr 20 2024,19:00,EEST/+0300,AE Zakakiou,2-5,2-1,Karmiotissa Polemidion,,2024-04-20T16:00Z
Playoffs - Relegation,10,Sat Apr 20 2024,19:30,EEST/+0300,Apollon Limassol,4-1,3-0,AEL Limassol,,2024-04-20T16:30Z
Championship,8,Sun Apr 21 2024,17:00,EEST/+0300,Paphos FC,5-1,4-1,Anorthosis Famagusta,,2024-04-21T14:00Z
Championship,8,Sun Apr 21 2024,19:00,EEST/+0300,AEK Larnaca,2-0,0-0,Omonia Nikosia,,2024-04-21T16:00Z
Championship,8,Sun Apr 21 2024,19:30,EEST/+0300,APOEL Nikosia,2-0,2-0,Aris Limassol,,2024-04-21T16:30Z
Playoffs - Relegation,11,Tue Apr 23 2024,19:00,EEST/+0300,AE Zakakiou,2-3,1-0,Doxa Katokopias,,2024-04-23T16:00Z
Playoffs - Relegation,11,Tue Apr 23 2024,17:00,EEST/+0300,Ethnikos Achna,3-3,2-0,Apollon Limassol,,2024-04-23T14:00Z
Playoffs - Relegation,11,Wed Apr 24 2024,18:00,EEST/+0300,Karmiotissa Polemidion,6-6,1-4,Othellos Athienou,,2024-04-24T15:00Z
Playoffs - Relegation,11,Wed Apr 24 2024,19:00,EEST/+0300,AEL Limassol,5-4,2-0,Nea Salamina,,2024-04-24T16:00Z
Playoffs - Relegation,12,Sat Apr 27 2024,19:00,EEST/+0300,Nea Salamina,2-1,0-1,Ethnikos Achna,,2024-04-27T16:00Z
Championship,9,Sun Apr 28 2024,19:00,EEST/+0300,AEK Larnaca,1-1,1-0,Anorthosis Famagusta,,2024-04-28T16:00Z
Championship,9,Sun Apr 28 2024,19:00,EEST/+0300,Aris Limassol,1-1,1-1,Paphos FC,,2024-04-28T16:00Z
Championship,9,Sun Apr 28 2024,19:00,EEST/+0300,Omonia Nikosia,1-0,0-0,APOEL Nikosia,,2024-04-28T16:00Z
Playoffs - Relegation,12,Mon Apr 29 2024,19:30,EEST/+0300,Doxa Katokopias,2-2,0-0,AEL Limassol,,2024-04-29T16:30Z
Playoffs - Relegation,12,Mon Apr 29 2024,19:30,EEST/+0300,Apollon Limassol,0-0,0-0,Karmiotissa Polemidion,,2024-04-29T16:30Z
Playoffs - Relegation,12,Mon Apr 29 2024,17:00,EEST/+0300,Othellos Athienou,3-1,1-1,AE Zakakiou,,2024-04-29T14:00Z
Playoffs - Relegation,13,Tue May 7 2024,19:00,EEST/+0300,Ethnikos Achna,2-0,1-0,AEL Limassol,,2024-05-07T16:00Z
Playoffs - Relegation,13,Tue May 7 2024,19:00,EEST/+0300,Othellos Athienou,3-0,2-0,Doxa Katokopias,,2024-05-07T16:00Z
Playoffs - Relegation,13,Tue May 7 2024,19:00,EEST/+0300,Karmiotissa Polemidion,1-3,1-2,Nea Salamina,,2024-05-07T16:00Z
Playoffs - Relegation,13,Wed May 8 2024,18:00,EEST/+0300,AE Zakakiou,1-5,1-3,Apollon Limassol,,2024-05-08T15:00Z
Playoffs - Relegation,14,Fri May 10 2024,19:00,EEST/+0300,AEL Limassol,4-3,2-1,Karmiotissa Polemidion,,2024-05-10T16:00Z
Playoffs - Relegation,14,Fri May 10 2024,17:00,EEST/+0300,Doxa Katokopias,6-3,2-1,Ethnikos Achna,,2024-05-10T14:00Z
Championship,10,Sat May 11 2024,19:00,EEST/+0300,APOEL Nikosia,1-1,1-1,AEK Larnaca,,2024-05-11T16:00Z
Championship,10,Sat May 11 2024,19:00,EEST/+0300,Anorthosis Famagusta,0-4,0-2,Aris Limassol,,2024-05-11T16:00Z
Championship,10,Sat May 11 2024,19:00,EEST/+0300,Paphos FC,1-1,0-1,Omonia Nikosia,,2024-05-11T16:00Z
Playoffs - Relegation,14,Sun May 12 2024,19:00,EEST/+0300,Apollon Limassol,4-1,1-0,Othellos Athienou,,2024-05-12T16:00Z
Playoffs - Relegation,14,Sun May 12 2024,17:00,EEST/+0300,Nea Salamina,1-1,1-0,AE Zakakiou,,2024-05-12T14:00Z
