Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Gruppe D,Sun Jun 9 2024,16:00,-0300,Retrô PE,3-1,1-1,Jacuipense BA,,,2024-06-09T19:00Z
Gruppe C,Sun Jun 9 2024,15:00,-0300,Maracanã CE,0-1,0-1,Sousa PB,,,2024-06-09T18:00Z
Gruppe H,Sun Jun 9 2024,16:00,-0300,Barra SC,0-1,0-0,Cianorte PR,,,2024-06-09T19:00Z
Gruppe H,Sun Jun 9 2024,16:00,-0300,Brasil de Pelotas RS,1-0,0-0,Cascavel FC PR,,,2024-06-09T19:00Z
Gruppe E,Sun Jun 9 2024,15:30,-0300,Brasiliense DF,1-0,0-0,Iporá GO,,,2024-06-09T18:30Z
Gruppe D,Sun Jun 9 2024,16:00,-0300,Itabaiana SE,3-0,1-0,ASA AL,,,2024-06-09T19:00Z
Gruppe G,Tue Jun 11 2024,19:30,-0300,Pouso Alegre MG,1-1,0-1,Santo André SP,,,2024-06-11T22:30Z
Gruppe B,Tue Jun 11 2024,19:30,-0300,Maranhão MA,0-2,0-1,Altos PI,,,2024-06-11T22:30Z
Gruppe H,Wed Jun 12 2024,20:00,-0300,Cascavel FC PR,0-0,0-0,Brasil de Pelotas RS,,,2024-06-12T23:00Z
Gruppe H,Wed Jun 12 2024,20:00,-0300,Hercílio Luz SC,1-2,1-2,Novo Hamburgo RS,,,2024-06-12T23:00Z
Gruppe H,Wed Jun 12 2024,19:00,-0300,Cianorte PR,1-1,0-0,Barra SC,,,2024-06-12T22:00Z
Gruppe H,Wed Jun 12 2024,19:00,-0300,Avenida RS,1-0,0-0,Concórdia SC,,,2024-06-12T22:00Z
Gruppe E,Wed Jun 12 2024,15:00,-0300,Real Brasilia DF,1-1,1-1,CRAC GO,,,2024-06-12T18:00Z
Gruppe E,Wed Jun 12 2024,16:30,-0300,União Rondonópolis MT,1-0,1-0,Anápolis FC GO,,,2024-06-12T19:30Z
Gruppe E,Wed Jun 12 2024,20:00,-0300,Capital TO,1-0,0-0,Mixto MT,,,2024-06-12T23:00Z
Gruppe D,Wed Jun 12 2024,15:00,-0300,Jacuipense BA,1-0,0-0,Retrô PE,,,2024-06-12T18:00Z
Gruppe G,Wed Jun 12 2024,20:00,-0300,Costa Rica MS,2-1,0-0,Água Santa SP,,,2024-06-12T23:00Z
Gruppe C,Wed Jun 12 2024,19:00,-0300,Iguatu CE,1-0,1-0,América RN,,,2024-06-12T22:00Z
Gruppe C,Wed Jun 12 2024,20:00,-0300,Sousa PB,3-2,1-1,Maracanã CE,,,2024-06-12T23:00Z
Gruppe F,Wed Jun 12 2024,20:00,-0300,Portuguesa RJ,1-1,0-0,Serra ES,,,2024-06-12T23:00Z
Gruppe D,Wed Jun 12 2024,19:00,-0300,Petrolina PE,1-1,1-0,CSE AL,,,2024-06-12T22:00Z
Gruppe F,Wed Jun 12 2024,19:00,-0300,Real Noroeste ES,0-1,0-1,Nova Iguaçu RJ,,,2024-06-12T22:00Z
Gruppe D,Wed Jun 12 2024,20:00,-0300,Sergipe SE,0-1,0-0,Juazeirense BA,,,2024-06-12T23:00Z
Gruppe G,Wed Jun 12 2024,20:00,-0300,São José SP,6-0,3-0,Atlético Patrocinense MG,,,2024-06-12T23:00Z
Gruppe G,Wed Jun 12 2024,19:30,-0300,Inter de Limeira SP,2-2,1-2,Maringá PR,,,2024-06-12T22:30Z
Gruppe B,Wed Jun 12 2024,20:00,-0300,Águia de Marabá PA,0-0,0-0,Tocantinópolis TO,,,2024-06-12T23:00Z
Gruppe B,Wed Jun 12 2024,19:00,-0300,River PI,1-3,0-1,Moto Club MA,,,2024-06-12T22:00Z
Gruppe C,Wed Jun 12 2024,15:00,-0300,Santa Cruz de Natal RN,1-2,0-0,Atlético Cearense CE,,,2024-06-12T18:00Z
Gruppe D,Wed Jun 12 2024,20:00,-0300,ASA AL,0-2,0-1,Itabaiana SE,,,2024-06-12T23:00Z
Gruppe A,Wed Jun 12 2024,21:00,-0300,Rio Branco AC,2-1,0-1,Manaus AM,,,2024-06-13T00:00Z
Gruppe A,Wed Jun 12 2024,16:00,-0300,Manauara AM,4-1,1-0,Trem AP,,,2024-06-12T19:00Z
Gruppe E,Wed Jun 12 2024,15:00,-0300,Iporá GO,1-3,1-1,Brasiliense DF,,,2024-06-12T18:00Z
Gruppe F,Wed Jun 12 2024,19:30,-0300,Ipatinga MG,0-3,0-1,Audax RJ,,,2024-06-12T22:30Z
Gruppe A,Thu Jun 13 2024,19:00,-0300,Princesa do Solimões AM,3-1,0-0,Humaitá AC,,,2024-06-13T22:00Z
Gruppe C,Thu Jun 13 2024,20:00,-0300,Treze PB,2-0,1-0,Potiguar de Mossoró RN,,,2024-06-13T23:00Z
Gruppe B,Thu Jun 13 2024,19:00,-0300,Fluminense PI,2-2,2-0,Cametá PA,,,2024-06-13T22:00Z
Gruppe F,Fri Jun 14 2024,19:00,-0300,Itabuna BA,1-1,1-1,Democrata de Sete Lagoas MG,,,2024-06-14T22:00Z
Gruppe D,Sat Jun 15 2024,17:00,-0300,CSE AL,3-2,0-1,Sergipe SE,,,2024-06-15T20:00Z
Gruppe A,Sat Jun 15 2024,17:00,-0300,Porto Velho EC RO,2-0,0-0,Rio Branco AC,,,2024-06-15T20:00Z
Gruppe B,Sat Jun 15 2024,16:00,-0300,Altos PI,2-0,1-0,Águia de Marabá PA,,,2024-06-15T19:00Z
Gruppe D,Sat Jun 15 2024,16:00,-0300,Retrô PE,1-0,0-0,ASA AL,,,2024-06-15T19:00Z
Gruppe F,Sat Jun 15 2024,15:30,-0300,Audax RJ,1-2,0-1,Real Noroeste ES,,,2024-06-15T18:30Z
Gruppe H,Sat Jun 15 2024,18:00,-0300,Barra SC,1-1,1-1,Avenida RS,,,2024-06-15T21:00Z
Gruppe G,Sat Jun 15 2024,16:00,-0300,Atlético Patrocinense MG,0-1,0-0,Inter de Limeira SP,,,2024-06-15T19:00Z
Gruppe E,Sat Jun 15 2024,18:00,-0300,Mixto MT,1-0,1-0,Iporá GO,,,2024-06-15T21:00Z
Gruppe H,Sun Jun 16 2024,17:00,-0300,Concórdia SC,2-0,1-0,Cianorte PR,,,2024-06-16T20:00Z
Gruppe H,Sun Jun 16 2024,16:00,-0300,Brasil de Pelotas RS,0-1,0-0,Hercílio Luz SC,,,2024-06-16T19:00Z
Gruppe E,Sun Jun 16 2024,15:30,-0300,Brasiliense DF,4-0,3-0,Capital TO,,,2024-06-16T18:30Z
Gruppe E,Sun Jun 16 2024,16:00,-0300,Anápolis FC GO,1-0,1-0,Real Brasilia DF,,,2024-06-16T19:00Z
Gruppe E,Sun Jun 16 2024,17:00,-0300,CRAC GO,1-0,0-0,União Rondonópolis MT,,,2024-06-16T20:00Z
Gruppe A,Sun Jun 16 2024,16:30,-0300,Manaus AM,2-0,0-0,São Raimundo RR,,,2024-06-16T19:30Z
Gruppe A,Sun Jun 16 2024,19:00,-0300,Humaitá AC,0-5,0-3,Manauara AM,,,2024-06-16T22:00Z
Gruppe F,Sun Jun 16 2024,15:00,-0300,Nova Iguaçu RJ,1-1,0-1,Ipatinga MG,,,2024-06-16T18:00Z
Gruppe F,Sun Jun 16 2024,16:00,-0300,Serra ES,0-2,0-2,Itabuna BA,,,2024-06-16T19:00Z
Gruppe C,Sun Jun 16 2024,18:00,-0300,América RN,1-1,0-0,Treze PB,,,2024-06-16T21:00Z
Gruppe C,Sun Jun 16 2024,16:00,-0300,Potiguar de Mossoró RN,0-0,0-0,Iguatu CE,,,2024-06-16T19:00Z
Gruppe D,Sun Jun 16 2024,16:00,-0300,Juazeirense BA,2-0,0-0,Petrolina PE,,,2024-06-16T19:00Z
Gruppe D,Sun Jun 16 2024,16:00,-0300,Itabaiana SE,2-0,1-0,Jacuipense BA,,,2024-06-16T19:00Z
Gruppe C,Sun Jun 16 2024,16:00,-0300,Atlético Cearense CE,2-0,1-0,Sousa PB,,,2024-06-16T19:00Z
Gruppe C,Sun Jun 16 2024,15:00,-0300,Maracanã CE,2-1,1-1,Santa Cruz de Natal RN,,,2024-06-16T18:00Z
Gruppe B,Sun Jun 16 2024,16:00,-0300,Cametá PA,3-2,1-1,River PI,,,2024-06-16T19:00Z
Gruppe G,Sun Jun 16 2024,18:30,-0300,Maringá PR,3-0,1-0,São José SP,,,2024-06-16T21:30Z
Gruppe G,Sun Jun 16 2024,15:00,-0300,Santo André SP,1-0,0-0,Costa Rica MS,,,2024-06-16T18:00Z
Gruppe H,Sun Jun 16 2024,16:00,-0300,Novo Hamburgo RS,0-0,0-0,Cascavel FC PR,,,2024-06-16T19:00Z
Gruppe B,Sun Jun 16 2024,16:00,-0300,Moto Club MA,0-0,0-0,Fluminense PI,,,2024-06-16T19:00Z
Gruppe G,Mon Jun 17 2024,20:00,-0300,Água Santa SP,1-0,0-0,Pouso Alegre MG,,,2024-06-17T23:00Z
Gruppe A,Mon Jun 17 2024,20:15,-0300,Trem AP,0-0,0-0,Princesa do Solimões AM,,,2024-06-17T23:15Z
Gruppe B,Tue Jun 18 2024,19:00,-0300,Tocantinópolis TO,1-1,0-1,Maranhão MA,,,2024-06-18T22:00Z
Gruppe F,Wed Jun 19 2024,19:30,-0300,Democrata de Sete Lagoas MG,0-0,0-0,Portuguesa RJ,,,2024-06-19T22:30Z
Gruppe H,Wed Jun 19 2024,20:00,-0300,Novo Hamburgo RS,2-1,1-0,Concórdia SC,,,2024-06-19T23:00Z
Gruppe H,Wed Jun 19 2024,19:30,-0300,Hercílio Luz SC,2-1,2-0,Avenida RS,,,2024-06-19T22:30Z
Gruppe C,Thu Jun 20 2024,20:00,-0300,Treze PB,1-1,1-0,Atlético Cearense CE,,,2024-06-20T23:00Z
Gruppe B,Sat Jun 22 2024,17:00,-0300,Águia de Marabá PA,2-0,0-0,Moto Club MA,,,2024-06-22T20:00Z
Gruppe F,Sat Jun 22 2024,15:00,-0300,Nova Iguaçu RJ,1-0,1-0,Itabuna BA,,,2024-06-22T18:00Z
Gruppe E,Sat Jun 22 2024,16:30,-0300,União Rondonópolis MT,1-1,0-1,Brasiliense DF,,,2024-06-22T19:30Z
Gruppe G,Sat Jun 22 2024,15:00,-0300,Santo André SP,1-0,0-0,Inter de Limeira SP,,,2024-06-22T18:00Z
Gruppe G,Sat Jun 22 2024,16:00,-0300,São José SP,0-0,0-0,Água Santa SP,,,2024-06-22T19:00Z
Gruppe G,Sat Jun 22 2024,16:00,-0300,Pouso Alegre MG,0-1,0-0,Maringá PR,,,2024-06-22T19:00Z
Gruppe H,Sat Jun 22 2024,15:00,-0300,Novo Hamburgo RS,0-1,0-1,Cianorte PR,,,2024-06-22T18:00Z
Gruppe A,Sat Jun 22 2024,16:00,-0300,Manauara AM,0-0,0-0,Manaus AM,,,2024-06-22T19:00Z
Gruppe A,Sat Jun 22 2024,21:00,-0300,Rio Branco AC,1-2,1-2,Trem AP,,,2024-06-23T00:00Z
Gruppe E,Sat Jun 22 2024,15:00,-0300,Iporá GO,0-2,0-2,Anápolis FC GO,,,2024-06-22T18:00Z
Gruppe A,Sat Jun 22 2024,18:00,-0300,São Raimundo RR,1-0,0-0,Humaitá AC,,,2024-06-22T21:00Z
Gruppe F,Sat Jun 22 2024,17:00,-0300,Ipatinga MG,0-4,0-2,Serra ES,,,2024-06-22T20:00Z
Gruppe F,Sat Jun 22 2024,18:30,-0300,Portuguesa RJ,3-0,1-0,Audax RJ,,,2024-06-22T21:30Z
Gruppe H,Sun Jun 23 2024,16:00,-0300,Hercílio Luz SC,0-1,0-0,Barra SC,,,2024-06-23T19:00Z
Gruppe B,Sun Jun 23 2024,16:00,-0300,Tocantinópolis TO,0-3,0-1,River PI,,,2024-06-23T19:00Z
Gruppe E,Sun Jun 23 2024,17:00,-0300,CRAC GO,4-1,3-0,Capital TO,,,2024-06-23T20:00Z
Gruppe E,Sun Jun 23 2024,15:00,-0300,Real Brasilia DF,2-2,0-0,Mixto MT,,,2024-06-23T18:00Z
Gruppe H,Sun Jun 23 2024,15:00,-0300,Avenida RS,2-0,2-0,Brasil de Pelotas RS,,,2024-06-23T18:00Z
Gruppe A,Sun Jun 23 2024,17:00,-0300,Porto Velho EC RO,6-1,1-1,Princesa do Solimões AM,,,2024-06-23T20:00Z
Gruppe H,Sun Jun 23 2024,16:00,-0300,Cascavel FC PR,1-0,0-0,Concórdia SC,,,2024-06-23T19:00Z
Gruppe G,Sun Jun 23 2024,16:00,-0300,Costa Rica MS,3-0,3-0,Atlético Patrocinense MG,,,2024-06-23T19:00Z
Gruppe F,Tue Jun 25 2024,19:00,-0300,Real Noroeste ES,2-0,2-0,Democrata de Sete Lagoas MG,,,2024-06-25T22:00Z
Gruppe D,Wed Jun 26 2024,15:00,-0300,Jacuipense BA,1-2,0-0,CSE AL,,,2024-06-26T18:00Z
Gruppe D,Wed Jun 26 2024,20:00,-0300,Retrô PE,1-0,1-0,Petrolina PE,,,2024-06-26T23:00Z
Gruppe D,Wed Jun 26 2024,20:00,-0300,Sergipe SE,2-0,0-0,Itabaiana SE,,,2024-06-26T23:00Z
Gruppe H,Wed Jun 26 2024,20:00,-0300,Cianorte PR,1-0,1-0,Brasil de Pelotas RS,,,2024-06-26T23:00Z
Gruppe H,Wed Jun 26 2024,20:00,-0300,Avenida RS,2-1,1-0,Novo Hamburgo RS,,,2024-06-26T23:00Z
Gruppe C,Wed Jun 26 2024,15:00,-0300,Santa Cruz de Natal RN,2-2,0-1,Potiguar de Mossoró RN,,,2024-06-26T18:00Z
Gruppe A,Wed Jun 26 2024,20:00,-0300,São Raimundo RR,4-1,1-0,Porto Velho EC RO,,,2024-06-26T23:00Z
Gruppe B,Wed Jun 26 2024,19:00,-0300,Fluminense PI,1-0,1-0,Altos PI,,,2024-06-26T22:00Z
Gruppe D,Wed Jun 26 2024,19:30,-0300,ASA AL,2-0,1-0,Juazeirense BA,,,2024-06-26T22:30Z
Gruppe C,Thu Jun 27 2024,19:00,-0300,Iguatu CE,2-0,0-0,Maracanã CE,,,2024-06-27T22:00Z
Gruppe C,Thu Jun 27 2024,20:00,-0300,América RN,1-0,1-0,Sousa PB,,,2024-06-27T23:00Z
Gruppe B,Thu Jun 27 2024,19:30,-0300,Maranhão MA,1-0,0-0,Cametá PA,,,2024-06-27T22:30Z
Gruppe A,Sat Jun 29 2024,17:00,-0300,Princesa do Solimões AM,0-0,0-0,Manauara AM,,,2024-06-29T20:00Z
Gruppe A,Sat Jun 29 2024,18:00,-0300,São Raimundo RR,3-1,2-0,Rio Branco AC,,,2024-06-29T21:00Z
Gruppe G,Sat Jun 29 2024,16:00,-0300,Pouso Alegre MG,0-1,0-1,Costa Rica MS,,,2024-06-29T19:00Z
Gruppe F,Sat Jun 29 2024,15:30,-0300,Audax RJ,0-1,0-0,Nova Iguaçu RJ,,,2024-06-29T18:30Z
Gruppe F,Sat Jun 29 2024,15:30,-0300,Real Noroeste ES,2-0,0-0,Ipatinga MG,,,2024-06-29T18:30Z
Gruppe H,Sat Jun 29 2024,17:30,-0300,Hercílio Luz SC,0-0,0-0,Cascavel FC PR,,,2024-06-29T20:30Z
Gruppe A,Sat Jun 29 2024,19:00,-0300,Humaitá AC,0-3,0-1,Trem AP,,,2024-06-29T22:00Z
Gruppe E,Sat Jun 29 2024,18:00,-0300,Capital TO,0-3,0-1,Iporá GO,,,2024-06-29T21:00Z
Gruppe G,Sat Jun 29 2024,18:00,-0300,Água Santa SP,2-0,2-0,Santo André SP,,,2024-06-29T21:00Z
Gruppe B,Sat Jun 29 2024,17:00,-0300,River PI,2-2,2-1,Fluminense PI,,,2024-06-29T20:00Z
Gruppe G,Sat Jun 29 2024,16:00,-0300,Inter de Limeira SP,1-2,0-0,São José SP,,,2024-06-29T19:00Z
Gruppe E,Sat Jun 29 2024,17:00,-0300,Anápolis FC GO,0-0,0-0,CRAC GO,,,2024-06-29T20:00Z
Gruppe H,Sat Jun 29 2024,19:30,-0300,Cianorte PR,3-1,2-1,Avenida RS,,,2024-06-29T22:30Z
Gruppe G,Sun Jun 30 2024,18:30,-0300,Maringá PR,4-0,2-0,Atlético Patrocinense MG,,,2024-06-30T21:30Z
Gruppe A,Sun Jun 30 2024,16:30,-0300,Manaus AM,2-1,0-1,Porto Velho EC RO,,,2024-06-30T19:30Z
Gruppe H,Sun Jun 30 2024,16:00,-0300,Barra SC,0-0,0-0,Concórdia SC,,,2024-06-30T19:00Z
Gruppe H,Sun Jun 30 2024,16:00,-0300,Brasil de Pelotas RS,3-1,1-0,Novo Hamburgo RS,,,2024-06-30T19:00Z
Gruppe B,Sun Jun 30 2024,17:00,-0300,Águia de Marabá PA,0-0,0-0,Maranhão MA,,,2024-06-30T20:00Z
Gruppe E,Sun Jun 30 2024,15:00,-0300,Real Brasilia DF,3-0,0-0,União Rondonópolis MT,,,2024-06-30T18:00Z
Gruppe F,Mon Jul 1 2024,19:30,-0300,Democrata de Sete Lagoas MG,1-2,0-1,Serra ES,,,2024-07-01T22:30Z
Gruppe E,Mon Jul 1 2024,20:00,-0300,Mixto MT,2-1,2-0,Brasiliense DF,,,2024-07-01T23:00Z
Gruppe C,Tue Jul 2 2024,19:00,-0300,Iguatu CE,1-0,1-0,Treze PB,,,2024-07-02T22:00Z
Gruppe D,Wed Jul 3 2024,19:00,-0300,Petrolina PE,1-1,1-1,Sergipe SE,,,2024-07-03T22:00Z
Gruppe F,Wed Jul 3 2024,19:00,-0300,Itabuna BA,0-0,0-0,Portuguesa RJ,,,2024-07-03T22:00Z
Gruppe D,Wed Jul 3 2024,19:00,-0300,CSE AL,0-1,0-0,Juazeirense BA,,,2024-07-03T22:00Z
Gruppe H,Wed Jul 3 2024,19:00,-0300,Avenida RS,1-0,1-0,Cianorte PR,,,2024-07-03T22:00Z
Gruppe H,Wed Jul 3 2024,20:00,-0300,Novo Hamburgo RS,1-2,0-0,Brasil de Pelotas RS,,,2024-07-03T23:00Z
Gruppe D,Wed Jul 3 2024,20:00,-0300,Itabaiana SE,2-1,1-0,Retrô PE,,,2024-07-03T23:00Z
Gruppe C,Wed Jul 3 2024,15:00,-0300,Maracanã CE,0-0,0-0,Atlético Cearense CE,,,2024-07-03T18:00Z
Gruppe C,Wed Jul 3 2024,20:00,-0300,Sousa PB,3-0,3-0,Santa Cruz de Natal RN,,,2024-07-03T23:00Z
Gruppe C,Wed Jul 3 2024,20:00,-0300,Potiguar de Mossoró RN,0-0,0-0,América RN,,,2024-07-03T23:00Z
Gruppe B,Wed Jul 3 2024,19:00,-0300,Altos PI,2-1,1-0,Tocantinópolis TO,,,2024-07-03T22:00Z
Gruppe B,Wed Jul 3 2024,20:00,-0300,Moto Club MA,1-1,0-0,Cametá PA,,,2024-07-03T23:00Z
Gruppe D,Thu Jul 4 2024,15:00,-0300,Jacuipense BA,1-0,1-0,ASA AL,,,2024-07-04T18:00Z
Gruppe F,Sat Jul 6 2024,15:00,-0300,Nova Iguaçu RJ,1-0,0-0,Portuguesa RJ,,,2024-07-06T18:00Z
Gruppe F,Sat Jul 6 2024,15:30,-0300,Audax RJ,0-1,0-0,Itabuna BA,,,2024-07-06T18:30Z
Gruppe F,Sat Jul 6 2024,16:00,-0300,Serra ES,2-2,0-1,Real Noroeste ES,,,2024-07-06T19:00Z
Gruppe F,Sat Jul 6 2024,17:00,-0300,Ipatinga MG,2-0,1-0,Democrata de Sete Lagoas MG,,,2024-07-06T20:00Z
Gruppe E,Sat Jul 6 2024,16:30,-0300,União Rondonópolis MT,1-2,1-0,Mixto MT,,,2024-07-06T19:30Z
Gruppe G,Sat Jul 6 2024,15:00,-0300,Santo André SP,4-1,3-0,São José SP,,,2024-07-06T18:00Z
Gruppe G,Sat Jul 6 2024,18:00,-0300,Água Santa SP,1-0,0-0,Inter de Limeira SP,,,2024-07-06T21:00Z
Gruppe G,Sat Jul 6 2024,16:00,-0300,Atlético Patrocinense MG,0-2,0-1,Pouso Alegre MG,,,2024-07-06T19:00Z
Gruppe A,Sat Jul 6 2024,21:00,-0300,Rio Branco AC,2-2,1-1,Humaitá AC,,,2024-07-07T00:00Z
Gruppe H,Sat Jul 6 2024,16:00,-0300,Novo Hamburgo RS,1-1,1-1,Avenida RS,,,2024-07-06T19:00Z
Gruppe A,Sat Jul 6 2024,16:30,-0300,Manaus AM,0-2,0-0,Princesa do Solimões AM,,,2024-07-06T19:30Z
Gruppe H,Sun Jul 7 2024,16:00,-0300,Brasil de Pelotas RS,1-2,0-0,Cianorte PR,,,2024-07-07T19:00Z
Gruppe H,Sun Jul 7 2024,16:00,-0300,Cascavel FC PR,0-3,0-1,Barra SC,,,2024-07-07T19:00Z
Gruppe H,Sun Jul 7 2024,16:00,-0300,Concórdia SC,1-1,0-0,Hercílio Luz SC,,,2024-07-07T19:00Z
Gruppe A,Sun Jul 7 2024,17:00,-0300,Porto Velho EC RO,1-1,1-0,Manauara AM,,,2024-07-07T20:00Z
Gruppe C,Sun Jul 7 2024,18:00,-0300,América RN,2-0,1-0,Santa Cruz de Natal RN,,,2024-07-07T21:00Z
Gruppe D,Sun Jul 7 2024,17:00,-0300,ASA AL,1-2,1-1,CSE AL,,,2024-07-07T20:00Z
Gruppe D,Sun Jul 7 2024,16:00,-0300,Juazeirense BA,2-1,0-0,Jacuipense BA,,,2024-07-07T19:00Z
Gruppe D,Sun Jul 7 2024,16:00,-0300,Itabaiana SE,2-0,0-0,Petrolina PE,,,2024-07-07T19:00Z
Gruppe C,Sun Jul 7 2024,16:00,-0300,Atlético Cearense CE,0-1,0-0,Iguatu CE,,,2024-07-07T19:00Z
Gruppe E,Sun Jul 7 2024,17:00,-0300,CRAC GO,2-0,1-0,Iporá GO,,,2024-07-07T20:00Z
Gruppe E,Sun Jul 7 2024,16:00,-0300,Anápolis FC GO,3-1,2-0,Capital TO,,,2024-07-07T19:00Z
Gruppe E,Sun Jul 7 2024,15:30,-0300,Brasiliense DF,3-1,2-1,Real Brasilia DF,,,2024-07-07T18:30Z
Gruppe C,Sun Jul 7 2024,16:00,-0300,Treze PB,2-1,1-1,Maracanã CE,,,2024-07-07T19:00Z
Gruppe G,Sun Jul 7 2024,16:00,-0300,Costa Rica MS,3-2,0-1,Maringá PR,,,2024-07-07T19:00Z
Gruppe C,Sun Jul 7 2024,16:00,-0300,Potiguar de Mossoró RN,0-1,0-1,Sousa PB,,,2024-07-07T19:00Z
Gruppe B,Sun Jul 7 2024,16:00,-0300,Maranhão MA,5-1,3-1,Moto Club MA,,,2024-07-07T19:00Z
Gruppe B,Sun Jul 7 2024,16:00,-0300,Tocantinópolis TO,1-1,0-0,Fluminense PI,,,2024-07-07T19:00Z
Gruppe B,Sun Jul 7 2024,16:00,-0300,Altos PI,1-2,0-1,River PI,,,2024-07-07T19:00Z
Gruppe D,Mon Jul 8 2024,20:00,-0300,Retrô PE,5-0,5-0,Sergipe SE,,,2024-07-08T23:00Z
Gruppe A,Mon Jul 8 2024,20:00,-0300,Trem AP,1-2,0-1,São Raimundo RR,,,2024-07-08T23:00Z
Gruppe B,Tue Jul 9 2024,20:00,-0300,Cametá PA,1-1,1-1,Águia de Marabá PA,,,2024-07-09T23:00Z
Gruppe H,Wed Jul 10 2024,20:00,-0300,Brasil de Pelotas RS,4-0,1-0,Avenida RS,,,2024-07-10T23:00Z
Gruppe H,Wed Jul 10 2024,20:00,-0300,Cianorte PR,1-2,0-0,Novo Hamburgo RS,,,2024-07-10T23:00Z
Gruppe F,Fri Jul 12 2024,20:00,-0300,Serra ES,1-2,0-1,Nova Iguaçu RJ,,,2024-07-12T23:00Z
Gruppe G,Sat Jul 13 2024,16:00,-0300,Inter de Limeira SP,1-0,0-0,Costa Rica MS,,,2024-07-13T19:00Z
Gruppe G,Sat Jul 13 2024,18:30,-0300,Maringá PR,2-0,2-0,Água Santa SP,,,2024-07-13T21:30Z
Gruppe D,Sat Jul 13 2024,16:00,-0300,Petrolina PE,0-3,0-1,ASA AL,,,2024-07-13T19:00Z
Gruppe C,Sat Jul 13 2024,16:00,-0300,Atlético Cearense CE,1-2,0-2,América RN,,,2024-07-13T19:00Z
Gruppe G,Sat Jul 13 2024,16:00,-0300,Atlético Patrocinense MG,0-1,0-1,Santo André SP,,,2024-07-13T19:00Z
Gruppe G,Sat Jul 13 2024,16:00,-0300,São José SP,1-1,1-0,Pouso Alegre MG,,,2024-07-13T19:00Z
Gruppe E,Sat Jul 13 2024,16:00,-0300,Capital TO,2-2,1-0,União Rondonópolis MT,,,2024-07-13T19:00Z
Gruppe E,Sat Jul 13 2024,18:00,-0300,Mixto MT,1-1,1-0,Anápolis FC GO,,,2024-07-13T21:00Z
Gruppe D,Sat Jul 13 2024,16:00,-0300,Juazeirense BA,1-2,0-1,Retrô PE,,,2024-07-13T19:00Z
Gruppe A,Sat Jul 13 2024,18:00,-0300,Trem AP,0-2,0-0,Porto Velho EC RO,,,2024-07-13T21:00Z
Gruppe A,Sat Jul 13 2024,17:00,-0300,Humaitá AC,2-5,1-1,Manaus AM,,,2024-07-13T20:00Z
Gruppe A,Sat Jul 13 2024,17:00,-0300,Princesa do Solimões AM,2-0,2-0,Rio Branco AC,,,2024-07-13T20:00Z
Gruppe A,Sat Jul 13 2024,16:00,-0300,Manauara AM,4-0,1-0,São Raimundo RR,,,2024-07-13T19:00Z
Gruppe E,Sat Jul 13 2024,15:00,-0300,Iporá GO,3-0,1-0,Real Brasilia DF,,,2024-07-13T18:00Z
Gruppe F,Sat Jul 13 2024,17:00,-0300,Portuguesa RJ,3-0,1-0,Real Noroeste ES,,,2024-07-13T20:00Z
Gruppe F,Sat Jul 13 2024,19:00,-0300,Itabuna BA,0-0,0-0,Ipatinga MG,,,2024-07-13T22:00Z
Gruppe D,Sat Jul 13 2024,16:00,-0300,Sergipe SE,0-1,0-0,Jacuipense BA,,,2024-07-13T19:00Z
Gruppe C,Sat Jul 13 2024,15:00,-0300,Santa Cruz de Natal RN,2-1,2-1,Iguatu CE,,,2024-07-13T18:00Z
Gruppe B,Sat Jul 13 2024,16:00,-0300,River PI,0-1,0-1,Maranhão MA,,,2024-07-13T19:00Z
Gruppe B,Sun Jul 14 2024,17:00,-0300,Fluminense PI,1-2,1-1,Águia de Marabá PA,,,2024-07-14T20:00Z
Gruppe B,Sun Jul 14 2024,16:00,-0300,Moto Club MA,1-2,0-1,Altos PI,,,2024-07-14T19:00Z
Gruppe B,Sun Jul 14 2024,16:00,-0300,Cametá PA,3-1,2-1,Tocantinópolis TO,,,2024-07-14T19:00Z
Gruppe H,Sun Jul 14 2024,16:00,-0300,Barra SC,2-2,1-1,Brasil de Pelotas RS,,,2024-07-14T19:00Z
Gruppe F,Sun Jul 14 2024,16:00,-0300,Democrata de Sete Lagoas MG,2-3,2-1,Audax RJ,,,2024-07-14T19:00Z
Gruppe E,Sun Jul 14 2024,15:30,-0300,Brasiliense DF,2-0,0-0,CRAC GO,,,2024-07-14T18:30Z
Gruppe C,Sun Jul 14 2024,15:00,-0300,Maracanã CE,2-0,0-0,Potiguar de Mossoró RN,,,2024-07-14T18:00Z
Gruppe D,Sun Jul 14 2024,16:00,-0300,CSE AL,2-1,2-1,Itabaiana SE,,,2024-07-14T19:00Z
Gruppe H,Sun Jul 14 2024,15:00,-0300,Avenida RS,0-0,0-0,Hercílio Luz SC,,,2024-07-14T18:00Z
Gruppe H,Sun Jul 14 2024,16:00,-0300,Concórdia SC,1-1,0-0,Novo Hamburgo RS,,,2024-07-14T19:00Z
Gruppe H,Sun Jul 14 2024,16:00,-0300,Cianorte PR,1-1,1-0,Cascavel FC PR,,,2024-07-14T19:00Z
Gruppe C,Sun Jul 14 2024,16:00,-0300,Sousa PB,1-1,1-1,Treze PB,,,2024-07-14T19:00Z
