Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
Apertura,10,Fri Mar 1 2024,16:00,-05/-0500,Envigado FC,2-2,2-1,Jaguares de Córdoba,,,2024-03-01T21:00Z
Apertura,10,Fri Mar 1 2024,18:10,-05/-0500,Boyacá Chicó,1-1,0-0,Deportes Tolima,,,2024-03-01T23:10Z
Apertura,10,Sat Mar 2 2024,20:20,-05/-0500,Atlético Junior,0-0,0-0,Atlético Nacional,,,2024-03-03T01:20Z
Apertura,10,Sat Mar 2 2024,18:10,-05/-0500,Deportivo Pereira,2-0,1-0,América de Cali,,,2024-03-02T23:10Z
Apertura,10,Sat Mar 2 2024,16:00,-05/-0500,Millonarios,1-2,1-1,La Equidad,,,2024-03-02T21:00Z
Apertura,10,Sun Mar 3 2024,20:20,-05/-0500,Alianza FC,0-1,0-1,Santa Fe,,,2024-03-04T01:20Z
Apertura,10,Sun Mar 3 2024,18:10,-05/-0500,Independiente Medellín,1-0,1-0,Águilas Doradas,,,2024-03-03T23:10Z
Apertura,10,Sun Mar 3 2024,16:00,-05/-0500,Atlético Bucaramanga,3-0,2-0,Patriotas FC,,,2024-03-03T21:00Z
Apertura,10,Mon Mar 4 2024,20:10,-05/-0500,Deportivo Pasto,1-0,1-0,Fortaleza FC,,,2024-03-05T01:10Z
Apertura,11,Fri Mar 8 2024,18:10,-05/-0500,Águilas Doradas,0-2,0-1,Atlético Junior,,,2024-03-08T23:10Z
Apertura,11,Fri Mar 8 2024,20:20,-05/-0500,La Equidad,2-0,2-0,Deportivo Cali,,,2024-03-09T01:20Z
Apertura,11,Sat Mar 9 2024,16:10,-05/-0500,Santa Fe,2-0,1-0,Fortaleza FC,,,2024-03-09T21:10Z
Apertura,11,Sat Mar 9 2024,18:20,-05/-0500,América de Cali,2-0,0-0,Alianza FC,,,2024-03-09T23:20Z
Apertura,11,Sat Mar 9 2024,14:00,-05/-0500,Deportivo Pasto,2-1,1-1,Boyacá Chicó,,,2024-03-09T19:00Z
Apertura,11,Sat Mar 9 2024,20:30,-05/-0500,Deportes Tolima,2-2,1-1,Independiente Medellín,,,2024-03-10T01:30Z
Apertura,11,Sun Mar 10 2024,18:20,-05/-0500,Jaguares de Córdoba,2-1,1-0,Millonarios,,,2024-03-10T23:20Z
Apertura,11,Sun Mar 10 2024,20:30,-05/-0500,Patriotas FC,3-0 (*),,Deportivo Pereira,,awd.,2024-03-11T01:30Z
Apertura,11,Sun Mar 10 2024,14:00,-05/-0500,Once Caldas,2-1,1-1,Envigado FC,,,2024-03-10T19:00Z
Apertura,11,Sun Mar 10 2024,16:10,-05/-0500,Atlético Nacional,0-0,0-0,Atlético Bucaramanga,,,2024-03-10T21:10Z
Apertura,12,Fri Mar 15 2024,18:00,-05/-0500,Alianza FC,1-1,1-1,Deportivo Pasto,,,2024-03-15T23:00Z
Apertura,12,Fri Mar 15 2024,20:10,-05/-0500,Atlético Junior,3-1,1-0,Jaguares de Córdoba,,,2024-03-16T01:10Z
Apertura,12,Sat Mar 16 2024,20:30,-05/-0500,Independiente Medellín,1-2,1-0,Once Caldas,,,2024-03-17T01:30Z
Apertura,12,Sat Mar 16 2024,16:10,-05/-0500,Atlético Bucaramanga,4-0,2-0,La Equidad,,,2024-03-16T21:10Z
Apertura,12,Sat Mar 16 2024,14:00,-05/-0500,Santa Fe,1-1,0-1,Deportes Tolima,,,2024-03-16T19:00Z
Apertura,12,Sat Mar 16 2024,18:20,-05/-0500,Boyacá Chicó,2-1,0-1,Atlético Nacional,,,2024-03-16T23:20Z
Apertura,12,Sun Mar 17 2024,18:20,-05/-0500,Fortaleza FC,0-0,0-0,América de Cali,,,2024-03-17T23:20Z
Apertura,12,Sun Mar 17 2024,14:00,-05/-0500,Envigado FC,1-1,1-1,Millonarios,,,2024-03-17T19:00Z
Apertura,12,Sun Mar 17 2024,16:10,-05/-0500,Deportivo Cali,0-1,0-1,Patriotas FC,,,2024-03-17T21:10Z
Apertura,12,Sun Mar 17 2024,20:30,-05/-0500,Deportivo Pereira,2-1,1-1,Águilas Doradas,,,2024-03-18T01:30Z
Apertura,13,Fri Mar 22 2024,20:20,-05/-0500,La Equidad,1-2,1-2,Independiente Medellín,,,2024-03-23T01:20Z
Apertura,13,Fri Mar 22 2024,18:10,-05/-0500,Patriotas FC,1-0,1-0,Atlético Junior,,,2024-03-22T23:10Z
Apertura,13,Sat Mar 23 2024,18:20,-05/-0500,Jaguares de Córdoba,0-1,0-1,Fortaleza FC,,,2024-03-23T23:20Z
Apertura,13,Sat Mar 23 2024,14:00,-05/-0500,Millonarios,1-1,0-0,Deportivo Cali,,,2024-03-23T19:00Z
Apertura,13,Sat Mar 23 2024,16:10,-05/-0500,Deportes Tolima,2-1,1-0,Deportivo Pereira,,,2024-03-23T21:10Z
Apertura,13,Sat Mar 23 2024,20:30,-05/-0500,América de Cali,3-2,1-1,Boyacá Chicó,,,2024-03-24T01:30Z
Apertura,13,Sun Mar 24 2024,18:10,-05/-0500,Atlético Nacional,1-0,1-0,Deportivo Pasto,,,2024-03-24T23:10Z
Apertura,13,Sun Mar 24 2024,16:00,-05/-0500,Atlético Bucaramanga,3-1,2-1,Envigado FC,,,2024-03-24T21:00Z
Apertura,13,Sun Mar 24 2024,20:20,-05/-0500,Águilas Doradas,1-1,0-0,Santa Fe,,,2024-03-25T01:20Z
Apertura,13,Mon Mar 25 2024,16:00,-05/-0500,Once Caldas,1-0,1-0,Alianza FC,,,2024-03-25T21:00Z
Apertura,9,Wed Mar 27 2024,16:00,-05/-0500,Atlético Bucaramanga,1-0,1-0,Águilas Doradas,,,2024-03-27T21:00Z
Apertura,8,Wed Mar 27 2024,18:10,-05/-0500,Atlético Nacional,2-0,0-0,Jaguares de Córdoba,,,2024-03-27T23:10Z
Apertura,15,Wed Mar 27 2024,20:20,-05/-0500,Millonarios,3-1,2-1,Santa Fe,,,2024-03-28T01:20Z
Apertura,14,Fri Mar 29 2024,19:30,-05/-0500,Atlético Junior,1-0,1-0,La Equidad,,,2024-03-30T00:30Z
Apertura,14,Fri Mar 29 2024,17:00,-05/-0500,Alianza FC,0-2,0-1,Deportes Tolima,,,2024-03-29T22:00Z
Apertura,14,Sat Mar 30 2024,18:20,-05/-0500,Boyacá Chicó,1-0,1-0,Jaguares de Córdoba,,,2024-03-30T23:20Z
Apertura,14,Sat Mar 30 2024,20:30,-05/-0500,Fortaleza FC,1-2,0-2,Millonarios,,,2024-03-31T01:30Z
Apertura,14,Sat Mar 30 2024,14:00,-05/-0500,Envigado FC,0-1,0-1,Atlético Nacional,,,2024-03-30T19:00Z
Apertura,14,Sat Mar 30 2024,16:10,-05/-0500,Deportivo Pasto,0-0,0-0,Once Caldas,,,2024-03-30T21:10Z
Apertura,14,Sun Mar 31 2024,18:20,-05/-0500,Independiente Medellín,1-4,1-3,América de Cali,,,2024-03-31T23:20Z
Apertura,14,Sun Mar 31 2024,20:30,-05/-0500,Deportivo Cali,2-4,1-3,Águilas Doradas,,,2024-04-01T01:30Z
Apertura,14,Sun Mar 31 2024,14:00,-05/-0500,Santa Fe,3-0,2-0,Patriotas FC,,,2024-03-31T19:00Z
Apertura,14,Sun Mar 31 2024,16:10,-05/-0500,Deportivo Pereira,1-2,1-0,Atlético Bucaramanga,,,2024-03-31T21:10Z
Apertura,15,Fri Apr 5 2024,18:10,-05/-0500,Atlético Nacional,1-2,1-2,Fortaleza FC,,,2024-04-05T23:10Z
Apertura,15,Fri Apr 5 2024,20:20,-05/-0500,Once Caldas,2-1,1-0,Deportes Tolima,,,2024-04-06T01:20Z
Apertura,15,Fri Apr 5 2024,16:00,-05/-0500,Envigado FC,1-1,0-0,Deportivo Pereira,,,2024-04-05T21:00Z
Apertura,15,Sat Apr 6 2024,16:00,-05/-0500,Águilas Doradas,0-1,0-0,Deportivo Pasto,,,2024-04-06T21:00Z
Apertura,15,Sat Apr 6 2024,18:10,-05/-0500,Atlético Bucaramanga,2-1,1-0,Deportivo Cali,,,2024-04-06T23:10Z
Apertura,15,Sat Apr 6 2024,20:20,-05/-0500,América de Cali,4-1,2-0,Atlético Junior,,,2024-04-07T01:20Z
Apertura,15,Sun Apr 7 2024,18:10,-05/-0500,Jaguares de Córdoba,2-2,1-0,Independiente Medellín,,,2024-04-07T23:10Z
