Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,Comments,UTC
,17,Mon Jan 4 2021,18:00,CET/+0100,Virtus Entella,1-0,1-0,AS Cittadella,,,2021-01-04T17:00Z
,17,Mon Jan 4 2021,18:00,CET/+0100,US Salernitana 1919,0-2,0-0,Pordenone Calcio,,,2021-01-04T17:00Z
,17,Mon Jan 4 2021,15:00,CET/+0100,Cosenza Calcio,0-2,0-1,Empoli FC,,,2021-01-04T14:00Z
,17,Mon Jan 4 2021,15:00,CET/+0100,Venezia FC,1-1,0-1,AC Pisa,,,2021-01-04T14:00Z
,17,Mon Jan 4 2021,18:00,CET/+0100,US Cremonese,0-2,0-1,Chievo Verona,,,2021-01-04T17:00Z
,17,Mon Jan 4 2021,17:00,CET/+0100,Ascoli Calcio,2-1,0-1,Reggina 1914,,,2021-01-04T16:00Z
,17,Mon Jan 4 2021,18:00,CET/+0100,Frosinone Calcio,1-2,1-1,SPAL 2013 Ferrara,,,2021-01-04T17:00Z
,17,Mon Jan 4 2021,18:00,CET/+0100,AC Reggiana 1919,0-1,0-0,Delfino Pescara,,,2021-01-04T17:00Z
,5,Sat Jan 9 2021,14:00,CET/+0100,AC Reggiana 1919,0-2,0-1,AS Cittadella,,,2021-01-09T13:00Z
,18,Fri Jan 15 2021,19:00,CET/+0100,Chievo Verona,2-1,0-0,Virtus Entella,,,2021-01-15T18:00Z
,18,Fri Jan 15 2021,21:00,CET/+0100,L.R. Vicenza Virtus,0-0,0-0,Frosinone Calcio,,,2021-01-15T20:00Z
,18,Sat Jan 16 2021,16:00,CET/+0100,Reggina 1914,0-1,0-1,US Lecce,,,2021-01-16T15:00Z
,18,Sat Jan 16 2021,14:00,CET/+0100,Pordenone Calcio,2-0,1-0,Venezia FC,,,2021-01-16T13:00Z
,18,Sat Jan 16 2021,14:00,CET/+0100,AC Monza,2-2,2-1,Cosenza Calcio,,,2021-01-16T13:00Z
,18,Sat Jan 16 2021,14:00,CET/+0100,AC Pisa,1-0,1-0,Brescia Calcio,,,2021-01-16T13:00Z
,18,Sat Jan 16 2021,14:00,CET/+0100,AS Cittadella,1-0,0-0,Ascoli Calcio,,,2021-01-16T13:00Z
,18,Sun Jan 17 2021,15:00,CET/+0100,Delfino Pescara,0-2,0-0,US Cremonese,,,2021-01-17T14:00Z
,18,Sun Jan 17 2021,21:00,CET/+0100,Empoli FC,5-0,4-0,US Salernitana 1919,,,2021-01-17T20:00Z
,18,Mon Jan 18 2021,21:00,CET/+0100,SPAL 2013 Ferrara,2-0,1-0,AC Reggiana 1919,,,2021-01-18T20:00Z
,8,Tue Jan 19 2021,19:00,CET/+0100,L.R. Vicenza Virtus,1-1,1-0,Chievo Verona,,,2021-01-19T18:00Z
,19,Fri Jan 22 2021,21:00,CET/+0100,Virtus Entella,2-1,1-1,AC Pisa,,,2021-01-22T20:00Z
,19,Sat Jan 23 2021,16:00,CET/+0100,US Salernitana 1919,2-0,2-0,Delfino Pescara,,,2021-01-23T15:00Z
,19,Sat Jan 23 2021,14:00,CET/+0100,Frosinone Calcio,1-1,0-1,Reggina 1914,,,2021-01-23T13:00Z
,19,Sat Jan 23 2021,14:00,CET/+0100,Ascoli Calcio,0-0,0-0,Chievo Verona,,,2021-01-23T13:00Z
