Stage,Round,Date,Time,Team 1,FT,Team 2
Regular Season,31,Sat Mar 20 2021,,AS Eupen,,KV Kortrijk
Regular Season,31,Sat Mar 20 2021,,KV Mechelen,,Oud-Heverlee Leuven
Regular Season,31,Sat Mar 20 2021,,Royal Excel Mouscron,,KV Oostende
Regular Season,31,Sat Mar 20 2021,,RSC Anderlecht,,SV Zulte Waregem
Regular Season,31,Sat Mar 20 2021,,Waasland-Beveren,,Sint-Truidense VV
Regular Season,32,Sat Apr 3 2021,,Standard Liège,,KAA Gent
Regular Season,32,Sat Apr 3 2021,,Cercle Brugge,,K Beerschot VA
Regular Season,32,Sat Apr 3 2021,,Royal Antwerp FC,,RSC Anderlecht
Regular Season,32,Sat Apr 3 2021,,KV Kortrijk,,Club Brugge KV
Regular Season,32,Sat Apr 3 2021,,KV Oostende,,Waasland-Beveren
Regular Season,32,Sat Apr 3 2021,,Oud-Heverlee Leuven,,KRC Genk
Regular Season,32,Sat Apr 3 2021,,Sporting Charleroi,,Royal Excel Mouscron
Regular Season,32,Sat Apr 3 2021,,SV Zulte Waregem,,AS Eupen
Regular Season,32,Sat Apr 3 2021,,Sint-Truidense VV,,KV Mechelen
Regular Season,33,Sat Apr 10 2021,,KV Mechelen,,SV Zulte Waregem
Regular Season,33,Sat Apr 10 2021,,K Beerschot VA,,KV Oostende
Regular Season,33,Sat Apr 10 2021,,Cercle Brugge,,Oud-Heverlee Leuven
Regular Season,33,Sat Apr 10 2021,,KAA Gent,,Sporting Charleroi
Regular Season,33,Sat Apr 10 2021,,AS Eupen,,Standard Liège
Regular Season,33,Sat Apr 10 2021,,KRC Genk,,Sint-Truidense VV
Regular Season,33,Sat Apr 10 2021,,Royal Excel Mouscron,,Royal Antwerp FC
Regular Season,33,Sat Apr 10 2021,,RSC Anderlecht,,Club Brugge KV
Regular Season,33,Sat Apr 10 2021,,Waasland-Beveren,,KV Kortrijk
Regular Season,34,Sat Apr 17 2021,,Royal Antwerp FC,,KRC Genk
Regular Season,34,Sat Apr 17 2021,,Club Brugge KV,,Royal Excel Mouscron
Regular Season,34,Sat Apr 17 2021,,KV Kortrijk,,KV Mechelen
Regular Season,34,Sat Apr 17 2021,,KV Oostende,,Cercle Brugge
Regular Season,34,Sat Apr 17 2021,,Oud-Heverlee Leuven,,Waasland-Beveren
Regular Season,34,Sat Apr 17 2021,,Sporting Charleroi,,AS Eupen
Regular Season,34,Sat Apr 17 2021,,Standard Liège,,K Beerschot VA
Regular Season,34,Sat Apr 17 2021,,SV Zulte Waregem,,KAA Gent
Regular Season,34,Sat Apr 17 2021,,Sint-Truidense VV,,RSC Anderlecht
