Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
5,Fri Aug 28 2015,20:00,CEST/+0200,SC Sollenau,3-2,2-1,Rapid Wien II,2015-08-28T18:00Z
5,Sat Aug 29 2015,16:15,CEST/+0200,FC Stadlau,2-1,0-0,First Vienna FC,2015-08-29T14:15Z
5,Sun Aug 30 2015,16:15,CEST/+0200,FC Admira Wacker II,2-4,2-1,ASK Ebreichsdorf,2015-08-30T14:15Z
6,Fri Sep 4 2015,19:00,CEST/+0200,SC Neusiedl/See 1919,0-0,0-0,SV Horn,2015-09-04T17:00Z
6,Fri Sep 4 2015,19:30,CEST/+0200,SKU Amstetten,1-1,1-0,FC Stadlau,2015-09-04T17:30Z
6,Fri Sep 4 2015,19:30,CEST/+0200,ASK Ebreichsdorf,0-0,0-0,SKN St. Pölten II,2015-09-04T17:30Z
6,Fri Sep 4 2015,19:30,CEST/+0200,SV Oberwart,2-0,1-0,SC Sollenau,2015-09-04T17:30Z
6,Fri Sep 4 2015,20:00,CEST/+0200,SV Schwechat,0-3,0-0,SC/ESV Parndorf,2015-09-04T18:00Z
6,Fri Sep 4 2015,20:30,CEST/+0200,First Vienna FC,3-2,2-1,Wiener Sportklub,2015-09-04T18:30Z
6,Sun Sep 6 2015,16:00,CEST/+0200,Rapid Wien II,0-3,0-1,SC Ritzing,2015-09-06T14:00Z
7,Fri Sep 11 2015,20:00,CEST/+0200,SC Sollenau,1-1,1-0,First Vienna FC,2015-09-11T18:00Z
7,Fri Sep 11 2015,19:00,CEST/+0200,SC Ritzing,4-2,1-2,SV Oberwart,2015-09-11T17:00Z
7,Fri Sep 11 2015,19:00,CEST/+0200,SC/ESV Parndorf,0-1,0-0,Rapid Wien II,2015-09-11T17:00Z
7,Fri Sep 11 2015,19:00,CEST/+0200,Austria Wien II,0-1,0-1,ASK Ebreichsdorf,2015-09-11T17:00Z
7,Fri Sep 11 2015,19:30,CEST/+0200,Wiener Sportklub,3-1,1-0,SKU Amstetten,2015-09-11T17:30Z
7,Fri Sep 11 2015,19:30,CEST/+0200,SV Horn,2-0,2-0,FC Admira Wacker II,2015-09-11T17:30Z
7,Sat Sep 12 2015,16:15,CEST/+0200,SKN St. Pölten II,3-0,1-0,SV Schwechat,2015-09-12T14:15Z
7,Sat Sep 12 2015,16:15,CEST/+0200,FC Stadlau,1-1,1-1,SC Neusiedl/See 1919,2015-09-12T14:15Z
6,Tue Sep 15 2015,19:00,CEST/+0200,FC Admira Wacker II,1-0,1-0,Austria Wien II,2015-09-15T17:00Z
8,Fri Sep 18 2015,19:00,CEST/+0200,First Vienna FC,1-0,0-0,SC Ritzing,2015-09-18T17:00Z
8,Fri Sep 18 2015,19:00,CEST/+0200,Austria Wien II,3-2,2-1,SV Horn,2015-09-18T17:00Z
8,Fri Sep 18 2015,19:30,CEST/+0200,SKU Amstetten,2-1,0-1,SC Sollenau,2015-09-18T17:30Z
8,Fri Sep 18 2015,19:30,CEST/+0200,ASK Ebreichsdorf,3-0,1-0,SV Schwechat,2015-09-18T17:30Z
8,Fri Sep 18 2015,19:30,CEST/+0200,SV Oberwart,1-3,1-2,SC/ESV Parndorf,2015-09-18T17:30Z
8,Sat Sep 19 2015,18:00,CEST/+0200,SC Neusiedl/See 1919,4-4,1-1,Wiener Sportklub,2015-09-19T16:00Z
8,Sat Sep 19 2015,18:00,CEST/+0200,Rapid Wien II,0-0,0-0,SKN St. Pölten II,2015-09-19T16:00Z
8,Sat Sep 19 2015,15:30,CEST/+0200,FC Admira Wacker II,0-1,0-1,FC Stadlau,2015-09-19T13:30Z
9,Fri Sep 25 2015,19:00,CEST/+0200,SC/ESV Parndorf,1-1,1-1,First Vienna FC,2015-09-25T17:00Z
9,Fri Sep 25 2015,19:30,CEST/+0200,SV Horn,2-0,1-0,ASK Ebreichsdorf,2015-09-25T17:30Z
