Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
Round 2,Wed May 18 2016,19:30,-0300,Athletico Paranaense,5-0,3-0,Dom Bosco MT,,,2016-05-18T22:30Z
Round 2,Thu May 19 2016,,,Santos FC,(*),,Galvez AC,,cancelled,
Round 2,Thu May 19 2016,21:30,-0300,Botafogo RJ,1-0,0-0,Juazeirense BA,,,2016-05-20T00:30Z
Round 2,Thu May 19 2016,21:30,-0300,Aparecidense GO,2-1,1-0,Ypiranga RS,,,2016-05-20T00:30Z
Round 2,Thu May 19 2016,,,Santa Cruz PE,(*),,Vitória da Conquista BA,,cancelled,
Round 2,Thu May 19 2016,19:15,-0300,Coritiba PR,2-2,1-0,Juventude RS,,,2016-05-19T22:15Z
Round 2,Thu May 19 2016,21:30,-0300,Vitória BA,3-1,1-1,Portuguesa SP,,,2016-05-20T00:30Z
Round 1,Wed May 25 2016,19:15,-0300,América RN,3-2,3-2,Gama DF,,,2016-05-25T22:15Z
Round 2,Wed Jun 1 2016,19:30,-0300,Gama DF,1-1,0-1,ABC RN,,,2016-06-01T22:30Z
Round 2,Wed Jun 15 2016,20:30,-0300,ABC RN,1-1,1-0,Gama DF,1-4,,2016-06-15T23:30Z
Round 2,Wed Jul 6 2016,19:30,-0300,Paysandu PA,2-0,2-0,Operário Ferroviário PR,,,2016-07-06T22:30Z
Round 3,Wed Jul 6 2016,21:45,-0300,Vitória BA,1-2,1-1,Cruzeiro,,,2016-07-07T00:45Z
Round 3,Wed Jul 6 2016,21:45,-0300,Fluminense RJ,1-1,0-1,Ypiranga RS,,,2016-07-07T00:45Z
Round 2,Wed Jul 6 2016,19:30,-0300,Figueirense SC,1-0,1-0,Sampaio Corrêa MA,,,2016-07-06T22:30Z
Round 3,Thu Jul 7 2016,21:00,-0300,América MG,1-0,0-0,Fortaleza CE,,,2016-07-08T00:00Z
Round 3,Wed Jul 13 2016,19:30,-0300,CA Bragantino,2-2,1-1,Botafogo RJ,,,2016-07-13T22:30Z
Round 3,Wed Jul 13 2016,19:30,-0300,Figueirense SC,0-0,0-0,Ponte Preta,,,2016-07-13T22:30Z
Round 3,Wed Jul 13 2016,21:45,-0300,Botafogo PB,3-0,2-0,Ceará CE,,,2016-07-14T00:45Z
Round 3,Wed Jul 13 2016,21:45,-0300,Vasco da Gama RJ,1-1,0-1,Santa Cruz PE,,,2016-07-14T00:45Z
Round 3,Wed Jul 20 2016,21:45,-0300,Gama DF,0-0,0-0,Santos FC,,,2016-07-21T00:45Z
Round 3,Wed Jul 20 2016,21:45,-0300,Santa Cruz PE,2-3,0-0,Vasco da Gama RJ,,,2016-07-21T00:45Z
