Stage,Round,Date,Time,Team 1,FT,HT,Team 2,Comments
Regular Season,25,Thu Feb 13 2020,20:30,Royal Antwerp FC,1-1,1-1,KRC Genk,
Regular Season,26,Fri Feb 14 2020,20:30,AS Eupen,2-3,2-2,KAA Gent,
Regular Season,26,Sat Feb 15 2020,18:00,Club Brugge KV,2-1,1-0,Waasland-Beveren,
Regular Season,26,Sat Feb 15 2020,20:00,KV Oostende,0-3,0-0,KV Kortrijk,
Regular Season,26,Sat Feb 15 2020,20:30,KV Mechelen,2-0,0-0,RSC Anderlecht,
Regular Season,26,Sat Feb 15 2020,20:00,Sint-Truidense VV,0-1,0-0,Cercle Brugge,
Regular Season,26,Sun Feb 16 2020,20:00,SV Zulte Waregem,1-2,0-1,Royal Excel Mouscron,
Regular Season,26,Sun Feb 16 2020,18:00,KRC Genk,1-3,0-2,Standard Liège,
Regular Season,26,Sun Feb 16 2020,14:30,Royal Antwerp FC,1-1,1-0,Sporting Charleroi,
Regular Season,27,Fri Feb 21 2020,20:30,KV Kortrijk,0-1,0-0,KRC Genk,
Regular Season,27,Sat Feb 22 2020,20:00,Royal Excel Mouscron,0-1,0-0,Cercle Brugge,
Regular Season,27,Sat Feb 22 2020,18:00,Standard Liège,1-0,1-0,Royal Antwerp FC,
Regular Season,27,Sat Feb 22 2020,20:30,KV Mechelen,4-0,2-0,Waasland-Beveren,
Regular Season,27,Sat Feb 22 2020,20:00,KV Oostende,1-1,1-1,SV Zulte Waregem,
Regular Season,27,Sun Feb 23 2020,14:30,Club Brugge KV,1-0,1-0,Sporting Charleroi,
Regular Season,27,Sun Feb 23 2020,18:00,RSC Anderlecht,6-1,4-0,AS Eupen,
Regular Season,27,Sun Feb 23 2020,20:00,KAA Gent,4-1,3-0,Sint-Truidense VV,
Regular Season,28,Fri Feb 28 2020,20:30,Sint-Truidense VV,0-3,0-0,KV Mechelen,
Regular Season,28,Sat Feb 29 2020,18:00,Waasland-Beveren,0-3,0-1,RSC Anderlecht,
Regular Season,28,Sat Feb 29 2020,20:30,Royal Antwerp FC,3-1,2-0,KV Oostende,
Regular Season,28,Sat Feb 29 2020,20:00,SV Zulte Waregem,2-2,2-0,KV Kortrijk,
Regular Season,28,Sat Feb 29 2020,20:00,AS Eupen,2-1,1-1,Royal Excel Mouscron,
Regular Season,28,Sun Mar 1 2020,14:30,KRC Genk,1-2,1-1,Club Brugge KV,
Regular Season,28,Sun Mar 1 2020,20:00,Cercle Brugge,1-0,1-0,KAA Gent,
Regular Season,28,Sun Mar 1 2020,18:00,Sporting Charleroi,2-0,1-0,Standard Liège,
Regular Season,29,Sat Mar 7 2020,20:00,Club Brugge KV,2-1,1-0,Cercle Brugge,
Regular Season,29,Sat Mar 7 2020,20:00,RSC Anderlecht,7-0,2-0,SV Zulte Waregem,
Regular Season,29,Sat Mar 7 2020,20:00,KV Mechelen,1-1,1-0,AS Eupen,
Regular Season,29,Sat Mar 7 2020,20:00,KAA Gent,1-4,0-2,Sporting Charleroi,
Regular Season,29,Sat Mar 7 2020,20:00,KV Kortrijk,0-1,0-0,Royal Antwerp FC,
