Stage,Round,Date,Time,Team 1,FT,HT,Team 2,ET,P,Comments
Clausura,2,Fri Jan 17 2020,04:15,FC Juárez,4-4,3-2,Pumas UNAM,,,
Clausura,2,Sat Jan 18 2020,04:00,Atlas Guadalajara,0-1,0-1,Puebla FC,,,
Clausura,2,Sat Jan 18 2020,02:00,Atlético San Luis,2-1,1-0,Cruz Azul,,,
Clausura,2,Sun Jan 19 2020,23:00,Gallos Blancos,3-0,2-0,Club Tijuana,,,
Clausura,2,Sun Jan 19 2020,04:00,CF América,1-0,0-0,UANL Tigres,,,
Clausura,2,Sun Jan 19 2020,00:00,CF Monterrey,2-2,1-1,Monarcas Morelia,,,
Clausura,2,Sun Jan 19 2020,02:00,CF Pachuca,0-0,0-0,Deportivo Guadalajara,,,
Clausura,2,Sun Jan 19 2020,19:00,Deportivo Toluca,2-3,2-1,Club Necaxa,,,
Clausura,2,Mon Jan 20 2020,01:45,Santos Laguna,3-2,0-1,Club León,,,
Clausura,3,Sat Jan 25 2020,04:10,Club Tijuana,0-0,0-0,CF América,,,
Clausura,3,Sat Jan 25 2020,04:00,Puebla FC,0-1,0-0,Gallos Blancos,,,
Clausura,3,Sun Jan 26 2020,19:00,Pumas UNAM,1-0,0-0,CF Monterrey,,,
Clausura,3,Sun Jan 26 2020,04:00,Club León,3-0,2-0,CF Pachuca,,,
Clausura,3,Sun Jan 26 2020,00:00,Cruz Azul,3-0,1-0,Santos Laguna,,,
Clausura,3,Sun Jan 26 2020,02:00,UANL Tigres,2-1,1-0,Atlas Guadalajara,,,
Clausura,3,Sun Jan 26 2020,04:05,Deportivo Guadalajara,2-2,1-0,Deportivo Toluca,,,
Clausura,3,Mon Jan 27 2020,02:00,FC Juárez,3-0,1-0,Monarcas Morelia,,,
Clausura,3,Mon Jan 27 2020,00:00,Club Necaxa,1-1,0-1,Atlético San Luis,,,
Clausura,4,Sat Feb 1 2020,04:00,Atlas Guadalajara,2-1,1-0,Club Tijuana,,,
Clausura,4,Sat Feb 1 2020,02:00,Atlético San Luis,2-2,0-2,Deportivo Guadalajara,,,
Clausura,4,Sun Feb 2 2020,04:00,Santos Laguna,1-1,0-0,Pumas UNAM,,,
Clausura,4,Sun Feb 2 2020,19:00,Deportivo Toluca,3-3,2-2,Cruz Azul,,,
Clausura,4,Sun Feb 2 2020,00:00,Monarcas Morelia,1-2,1-1,Club León,,,
Clausura,4,Sun Feb 2 2020,00:00,CF Monterrey,1-2,0-1,Gallos Blancos,,,
Clausura,4,Sun Feb 2 2020,04:00,CF América,1-3,0-2,FC Juárez,,,
