Round,Date,Time,Team 1,FT,HT,Team 2,Comments
33,Fri Apr 17 2020,,Rodez AF,(*),,Chamois Niortais,cancelled
34,Tue Apr 21 2020,,AC Ajaccio,(*),,FC Chambly,cancelled
34,Tue Apr 21 2020,,Le Havre AC,(*),,Rodez AF,cancelled
34,Tue Apr 21 2020,,ESTAC Troyes,(*),,FC Sochaux,cancelled
34,Tue Apr 21 2020,,Chamois Niortais,(*),,Clermont Foot,cancelled
34,Tue Apr 21 2020,,Paris FC,(*),,AS Nancy,cancelled
34,Tue Apr 21 2020,,Grenoble Foot 38,(*),,FC Lorient,cancelled
34,Tue Apr 21 2020,,LB Châteauroux,(*),,Le Mans FC,cancelled
34,Tue Apr 21 2020,,RC Lens,(*),,Valenciennes FC,cancelled
34,Tue Apr 21 2020,,SM Caen,(*),,EA Guingamp,cancelled
34,Tue Apr 21 2020,,US Orléans,(*),,AJ Auxerre,cancelled
35,Fri Apr 24 2020,,AC Ajaccio,(*),,Chamois Niortais,cancelled
35,Fri Apr 24 2020,,AS Nancy,(*),,SM Caen,cancelled
35,Fri Apr 24 2020,,Clermont Foot,(*),,Grenoble Foot 38,cancelled
35,Fri Apr 24 2020,,EA Guingamp,(*),,Paris FC,cancelled
35,Fri Apr 24 2020,,FC Chambly,(*),,RC Lens,cancelled
35,Fri Apr 24 2020,,FC Lorient,(*),,US Orléans,cancelled
35,Fri Apr 24 2020,,FC Sochaux,(*),,LB Châteauroux,cancelled
35,Fri Apr 24 2020,,Valenciennes FC,(*),,AJ Auxerre,cancelled
35,Fri Apr 24 2020,,Le Mans FC,(*),,Le Havre AC,cancelled
35,Fri Apr 24 2020,,Rodez AF,(*),,ESTAC Troyes,cancelled
36,Fri May 1 2020,,Le Havre AC,(*),,Clermont Foot,cancelled
36,Fri May 1 2020,,AJ Auxerre,(*),,FC Lorient,cancelled
36,Fri May 1 2020,,ESTAC Troyes,(*),,EA Guingamp,cancelled
36,Fri May 1 2020,,Chamois Niortais,(*),,FC Chambly,cancelled
36,Fri May 1 2020,,Paris FC,(*),,Valenciennes FC,cancelled
36,Fri May 1 2020,,Grenoble Foot 38,(*),,FC Sochaux,cancelled
36,Fri May 1 2020,,LB Châteauroux,(*),,AS Nancy,cancelled
36,Fri May 1 2020,,RC Lens,(*),,AC Ajaccio,cancelled
36,Fri May 1 2020,,SM Caen,(*),,Rodez AF,cancelled
36,Fri May 1 2020,,US Orléans,(*),,Le Mans FC,cancelled
37,Fri May 8 2020,,AC Ajaccio,(*),,ESTAC Troyes,cancelled
37,Fri May 8 2020,,AS Nancy,(*),,AJ Auxerre,cancelled
37,Fri May 8 2020,,Clermont Foot,(*),,SM Caen,cancelled
37,Fri May 8 2020,,EA Guingamp,(*),,LB Châteauroux,cancelled
37,Fri May 8 2020,,FC Chambly,(*),,Le Havre AC,cancelled
37,Fri May 8 2020,,Chamois Niortais,(*),,RC Lens,cancelled
37,Fri May 8 2020,,FC Lorient,(*),,Valenciennes FC,cancelled
37,Fri May 8 2020,,FC Sochaux,(*),,US Orléans,cancelled
37,Fri May 8 2020,,Le Mans FC,(*),,Paris FC,cancelled
37,Fri May 8 2020,,Rodez AF,(*),,Grenoble Foot 38,cancelled
38,Fri May 15 2020,,Le Havre AC,(*),,AC Ajaccio,cancelled
38,Fri May 15 2020,,AJ Auxerre,(*),,Rodez AF,cancelled
38,Fri May 15 2020,,ESTAC Troyes,(*),,Chamois Niortais,cancelled
38,Fri May 15 2020,,Paris FC,(*),,FC Lorient,cancelled
38,Fri May 15 2020,,Valenciennes FC,(*),,FC Chambly,cancelled
38,Fri May 15 2020,,Grenoble Foot 38,(*),,EA Guingamp,cancelled
38,Fri May 15 2020,,LB Châteauroux,(*),,Clermont Foot,cancelled
38,Fri May 15 2020,,RC Lens,(*),,Le Mans FC,cancelled
38,Fri May 15 2020,,SM Caen,(*),,FC Sochaux,cancelled
38,Fri May 15 2020,,US Orléans,(*),,AS Nancy,cancelled
