Round,Date,Time,Team 1,FT,HT,Team 2,Comments
29,Sun Mar 29 2020,,FK Chertanovo Moskva,(*),,FK Nizhny Novgorod,cancelled
29,Sun Mar 29 2020,,Mordovia Saransk,(*),,FK Torpedo Armavir,cancelled
29,Sun Mar 29 2020,,SKA-Energia Khabarovsk,(*),,Luch-Energia,cancelled
29,Sun Mar 29 2020,,Baltika Kaliningrad,(*),,Avangard Kursk,cancelled
29,Sun Mar 29 2020,,Fakel Voronezh,(*),,Tekstilshchik Ivanovo,cancelled
29,Sun Mar 29 2020,,Chayka Peschanokopskoye,(*),,Enisey Krasnoyarsk,cancelled
29,Sun Mar 29 2020,,Torpedo Moskva,(*),,Rotor Volgograd,cancelled
29,Sun Mar 29 2020,,Spartak Moskva 2,(*),,FK Khimki,cancelled
29,Sun Mar 29 2020,,Shinnik Yaroslavl,(*),,FK Krasnodar 2,cancelled
29,Sun Mar 29 2020,,FC Neftekhimik,(*),,FK Tom Tomsk,cancelled
30,Sat Apr 4 2020,,FK Torpedo Armavir,(*),,FK Nizhny Novgorod,cancelled
30,Sat Apr 4 2020,,Luch-Energia,(*),,Mordovia Saransk,cancelled
30,Sat Apr 4 2020,,Avangard Kursk,(*),,SKA-Energia Khabarovsk,cancelled
30,Sat Apr 4 2020,,Tekstilshchik Ivanovo,(*),,Baltika Kaliningrad,cancelled
30,Sat Apr 4 2020,,Enisey Krasnoyarsk,(*),,Fakel Voronezh,cancelled
30,Sat Apr 4 2020,,Rotor Volgograd,(*),,Chayka Peschanokopskoye,cancelled
30,Sat Apr 4 2020,,FK Khimki,(*),,Torpedo Moskva,cancelled
30,Sat Apr 4 2020,,FK Krasnodar 2,(*),,Spartak Moskva 2,cancelled
30,Sat Apr 4 2020,,FK Tom Tomsk,(*),,Shinnik Yaroslavl,cancelled
30,Sat Apr 4 2020,,FC Neftekhimik,(*),,FK Chertanovo Moskva,cancelled
31,Wed Apr 8 2020,,FK Chertanovo Moskva,(*),,FK Torpedo Armavir,cancelled
31,Wed Apr 8 2020,,FK Nizhny Novgorod,(*),,Luch-Energia,cancelled
31,Wed Apr 8 2020,,Mordovia Saransk,(*),,Avangard Kursk,cancelled
31,Wed Apr 8 2020,,SKA-Energia Khabarovsk,(*),,Tekstilshchik Ivanovo,cancelled
31,Wed Apr 8 2020,,Baltika Kaliningrad,(*),,Enisey Krasnoyarsk,cancelled
31,Wed Apr 8 2020,,Fakel Voronezh,(*),,Rotor Volgograd,cancelled
31,Wed Apr 8 2020,,Chayka Peschanokopskoye,(*),,FK Khimki,cancelled
31,Wed Apr 8 2020,,Torpedo Moskva,(*),,FK Krasnodar 2,cancelled
31,Wed Apr 8 2020,,Spartak Moskva 2,(*),,FK Tom Tomsk,cancelled
31,Wed Apr 8 2020,,Shinnik Yaroslavl,(*),,FC Neftekhimik,cancelled
32,Sun Apr 12 2020,,Luch-Energia,(*),,FK Torpedo Armavir,cancelled
32,Sun Apr 12 2020,,Avangard Kursk,(*),,FK Nizhny Novgorod,cancelled
32,Sun Apr 12 2020,,Tekstilshchik Ivanovo,(*),,Mordovia Saransk,cancelled
32,Sun Apr 12 2020,,Enisey Krasnoyarsk,(*),,SKA-Energia Khabarovsk,cancelled
32,Sun Apr 12 2020,,Rotor Volgograd,(*),,Baltika Kaliningrad,cancelled
32,Sun Apr 12 2020,,FK Khimki,(*),,Fakel Voronezh,cancelled
32,Sun Apr 12 2020,,FK Krasnodar 2,(*),,Chayka Peschanokopskoye,cancelled
32,Sun Apr 12 2020,,FK Tom Tomsk,(*),,Torpedo Moskva,cancelled
32,Sun Apr 12 2020,,FC Neftekhimik,(*),,Spartak Moskva 2,cancelled
32,Sun Apr 12 2020,,Shinnik Yaroslavl,(*),,FK Chertanovo Moskva,cancelled
33,Sat Apr 18 2020,,Baltika Kaliningrad,(*),,FK Khimki,cancelled
33,Sat Apr 18 2020,,FK Chertanovo Moskva,(*),,Luch-Energia,cancelled
33,Sat Apr 18 2020,,FK Torpedo Armavir,(*),,Avangard Kursk,cancelled
33,Sat Apr 18 2020,,FK Nizhny Novgorod,(*),,Tekstilshchik Ivanovo,cancelled
33,Sat Apr 18 2020,,Mordovia Saransk,(*),,Enisey Krasnoyarsk,cancelled
33,Sat Apr 18 2020,,SKA-Energia Khabarovsk,(*),,Rotor Volgograd,cancelled
33,Sat Apr 18 2020,,Fakel Voronezh,(*),,FK Krasnodar 2,cancelled
33,Sat Apr 18 2020,,Chayka Peschanokopskoye,(*),,FK Tom Tomsk,cancelled
33,Sat Apr 18 2020,,Torpedo Moskva,(*),,FC Neftekhimik,cancelled
33,Sat Apr 18 2020,,Spartak Moskva 2,(*),,Shinnik Yaroslavl,cancelled
34,Sun Apr 26 2020,,Avangard Kursk,(*),,Luch-Energia,cancelled
34,Sun Apr 26 2020,,Tekstilshchik Ivanovo,(*),,FK Torpedo Armavir,cancelled
34,Sun Apr 26 2020,,Enisey Krasnoyarsk,(*),,FK Nizhny Novgorod,cancelled
34,Sun Apr 26 2020,,FK Khimki,(*),,SKA-Energia Khabarovsk,cancelled
34,Sun Apr 26 2020,,FK Krasnodar 2,(*),,Baltika Kaliningrad,cancelled
34,Sun Apr 26 2020,,FK Tom Tomsk,(*),,Fakel Voronezh,cancelled
34,Sun Apr 26 2020,,FC Neftekhimik,(*),,Chayka Peschanokopskoye,cancelled
34,Sun Apr 26 2020,,Rotor Volgograd,(*),,Mordovia Saransk,cancelled
34,Sun Apr 26 2020,,Shinnik Yaroslavl,(*),,Torpedo Moskva,cancelled
34,Sun Apr 26 2020,,Spartak Moskva 2,(*),,FK Chertanovo Moskva,cancelled
35,Sat May 2 2020,,FK Chertanovo Moskva,(*),,Avangard Kursk,cancelled
35,Sat May 2 2020,,Luch-Energia,(*),,Tekstilshchik Ivanovo,cancelled
35,Sat May 2 2020,,FK Torpedo Armavir,(*),,Enisey Krasnoyarsk,cancelled
35,Sat May 2 2020,,FK Nizhny Novgorod,(*),,Rotor Volgograd,cancelled
35,Sat May 2 2020,,Mordovia Saransk,(*),,FK Khimki,cancelled
35,Sat May 2 2020,,SKA-Energia Khabarovsk,(*),,FK Krasnodar 2,cancelled
35,Sat May 2 2020,,Baltika Kaliningrad,(*),,FK Tom Tomsk,cancelled
35,Sat May 2 2020,,Fakel Voronezh,(*),,FC Neftekhimik,cancelled
35,Sat May 2 2020,,Chayka Peschanokopskoye,(*),,Shinnik Yaroslavl,cancelled
35,Sat May 2 2020,,Torpedo Moskva,(*),,Spartak Moskva 2,cancelled
36,Wed May 6 2020,,Tekstilshchik Ivanovo,(*),,Avangard Kursk,cancelled
36,Wed May 6 2020,,Rotor Volgograd,(*),,FK Torpedo Armavir,cancelled
36,Wed May 6 2020,,Enisey Krasnoyarsk,(*),,Luch-Energia,cancelled
36,Wed May 6 2020,,FK Khimki,(*),,FK Nizhny Novgorod,cancelled
36,Wed May 6 2020,,FK Krasnodar 2,(*),,Mordovia Saransk,cancelled
36,Wed May 6 2020,,FK Tom Tomsk,(*),,SKA-Energia Khabarovsk,cancelled
36,Wed May 6 2020,,FC Neftekhimik,(*),,Baltika Kaliningrad,cancelled
36,Wed May 6 2020,,Shinnik Yaroslavl,(*),,Fakel Voronezh,cancelled
36,Wed May 6 2020,,Spartak Moskva 2,(*),,Chayka Peschanokopskoye,cancelled
36,Wed May 6 2020,,FK Chertanovo Moskva,(*),,Torpedo Moskva,cancelled
37,Sun May 10 2020,,FK Chertanovo Moskva,(*),,Tekstilshchik Ivanovo,cancelled
37,Sun May 10 2020,,Avangard Kursk,(*),,Enisey Krasnoyarsk,cancelled
37,Sun May 10 2020,,Luch-Energia,(*),,Rotor Volgograd,cancelled
37,Sun May 10 2020,,FK Torpedo Armavir,(*),,FK Khimki,cancelled
37,Sun May 10 2020,,FK Nizhny Novgorod,(*),,FK Krasnodar 2,cancelled
37,Sun May 10 2020,,Mordovia Saransk,(*),,FK Tom Tomsk,cancelled
37,Sun May 10 2020,,SKA-Energia Khabarovsk,(*),,FC Neftekhimik,cancelled
37,Sun May 10 2020,,Baltika Kaliningrad,(*),,Shinnik Yaroslavl,cancelled
37,Sun May 10 2020,,Fakel Voronezh,(*),,Spartak Moskva 2,cancelled
37,Sun May 10 2020,,Chayka Peschanokopskoye,(*),,Torpedo Moskva,cancelled
38,Sat May 16 2020,,Enisey Krasnoyarsk,(*),,Tekstilshchik Ivanovo,cancelled
38,Sat May 16 2020,,Rotor Volgograd,(*),,Avangard Kursk,cancelled
38,Sat May 16 2020,,FK Khimki,(*),,Luch-Energia,cancelled
38,Sat May 16 2020,,FK Krasnodar 2,(*),,FK Torpedo Armavir,cancelled
38,Sat May 16 2020,,FK Tom Tomsk,(*),,FK Nizhny Novgorod,cancelled
38,Sat May 16 2020,,FC Neftekhimik,(*),,Mordovia Saransk,cancelled
38,Sat May 16 2020,,Shinnik Yaroslavl,(*),,SKA-Energia Khabarovsk,cancelled
38,Sat May 16 2020,,Spartak Moskva 2,(*),,Baltika Kaliningrad,cancelled
38,Sat May 16 2020,,Torpedo Moskva,(*),,Fakel Voronezh,cancelled
38,Sat May 16 2020,,FK Chertanovo Moskva,(*),,Chayka Peschanokopskoye,cancelled
