Round,Date,Time,Team 1,FT,HT,Team 2,Comments
35,Sat Feb 13 2021,,Fluminense RJ,,,Atlético Mineiro,
35,Sat Feb 13 2021,,Botafogo - RJ,,,Grêmio Porto Alegre,
35,Sat Feb 13 2021,,Internacional,,,Sport - PE,
35,Sat Feb 13 2021,,Corinthians SP,,,Athletico Paranaense,
35,Sat Feb 13 2021,,São Paulo FC,,,Ceará - CE,
35,Sat Feb 13 2021,,Bahia - BA,,,Goiás,
36,Wed Feb 17 2021,,Ceará - CE,,,Fluminense RJ,
36,Wed Feb 17 2021,,Goiás,,,Botafogo - RJ,
36,Wed Feb 17 2021,,Grêmio Porto Alegre,,,São Paulo FC,
36,Wed Feb 17 2021,,Sport - PE,,,Red Bull Bragantino,
36,Wed Feb 17 2021,,Flamengo RJ,,,Corinthians SP,
36,Wed Feb 17 2021,,Vasco da Gama,,,Internacional,
36,Wed Feb 17 2021,,Atlético Mineiro,,,Bahia - BA,
36,Wed Feb 17 2021,,Santos FC,,,Coritiba FC,
36,Wed Feb 17 2021,,Palmeiras,,,Fortaleza,
36,Wed Feb 17 2021,,Athletico Paranaense,,,Atlético Goianiense,
37,Sun Feb 21 2021,,Santos FC,,,Fluminense RJ,
37,Sun Feb 21 2021,,Corinthians SP,,,Vasco da Gama,
37,Sun Feb 21 2021,,Botafogo - RJ,,,São Paulo FC,
37,Sun Feb 21 2021,,Goiás,,,Red Bull Bragantino,
37,Sun Feb 21 2021,,Sport - PE,,,Atlético Mineiro,
37,Sun Feb 21 2021,,Flamengo RJ,,,Internacional,
37,Sun Feb 21 2021,,Fortaleza,,,Bahia - BA,
37,Sun Feb 21 2021,,Grêmio Porto Alegre,,,Athletico Paranaense,
37,Sun Feb 21 2021,,Coritiba FC,,,Ceará - CE,
37,Sun Feb 21 2021,,Palmeiras,,,Atlético Goianiense,
38,Wed Feb 24 2021,,São Paulo FC,,,Flamengo RJ,
38,Wed Feb 24 2021,,Ceará - CE,,,Botafogo - RJ,
38,Wed Feb 24 2021,,Atlético Mineiro,,,Palmeiras,
38,Wed Feb 24 2021,,Bahia - BA,,,Santos FC,
38,Wed Feb 24 2021,,Internacional,,,Corinthians SP,
38,Wed Feb 24 2021,,Red Bull Bragantino,,,Grêmio Porto Alegre,
38,Wed Feb 24 2021,,Athletico Paranaense,,,Sport - PE,
38,Wed Feb 24 2021,,Atlético Goianiense,,,Coritiba FC,
38,Wed Feb 24 2021,,Fluminense RJ,,,Fortaleza,
38,Wed Feb 24 2021,,Vasco da Gama,,,Goiás,
