Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Apertura,13,Sun Oct 21 2018,00:00,Gallos Blancos,2-0,0-0,Cruz Azul
Apertura,13,Sun Oct 21 2018,04:00,Club Necaxa,0-2,0-1,Club León
Apertura,13,Sun Oct 21 2018,04:06,CF Monterrey,2-1,0-0,Deportivo Toluca
Apertura,13,Sun Oct 21 2018,19:00,Lobos BUAP,1-1,1-0,Deportivo Guadalajara
Apertura,13,Sun Oct 21 2018,02:00,CF Pachuca,1-1,1-0,Santos Laguna
Apertura,13,Mon Oct 22 2018,01:00,Monarcas Morelia,2-0,0-0,Puebla FC
Apertura,14,Sat Oct 27 2018,02:00,Santos Laguna,1-0,1-0,CF Monterrey
Apertura,14,Sat Oct 27 2018,04:00,CD Veracruz,2-3,0-1,CF Pachuca
Apertura,14,Sun Oct 28 2018,02:00,UANL Tigres,2-2,0-1,Lobos BUAP
Apertura,14,Sun Oct 28 2018,00:00,Club Necaxa,2-2,0-1,Atlas Guadalajara
Apertura,14,Sun Oct 28 2018,02:00,Deportivo Guadalajara,1-2,1-0,Monarcas Morelia
Apertura,14,Sun Oct 28 2018,03:00,Cruz Azul,0-0,0-0,CF América
Apertura,14,Sun Oct 28 2018,03:06,Club Tijuana,0-1,0-0,Pumas UNAM
Apertura,14,Sun Oct 28 2018,19:00,Deportivo Toluca,4-0,1-0,Gallos Blancos
Apertura,14,Mon Oct 29 2018,02:00,Club León,0-4,0-2,Puebla FC
Apertura,15,Sat Nov 3 2018,02:00,Monarcas Morelia,0-2,0-0,UANL Tigres
Apertura,15,Sat Nov 3 2018,04:00,Puebla FC,2-2,0-2,Deportivo Guadalajara
Apertura,15,Sun Nov 4 2018,02:00,CF América,1-1,1-1,Deportivo Toluca
Apertura,15,Sun Nov 4 2018,23:00,Gallos Blancos,2-1,1-0,Santos Laguna
Apertura,15,Sun Nov 4 2018,02:06,CF Monterrey,2-0,1-0,CD Veracruz
Apertura,15,Sun Nov 4 2018,04:00,Lobos BUAP,3-1,1-0,Club Tijuana
Apertura,15,Sun Nov 4 2018,19:00,Pumas UNAM,1-2,0-1,Cruz Azul
Apertura,15,Sun Nov 4 2018,00:00,CF Pachuca,6-2,3-0,Club Necaxa
Apertura,15,Mon Nov 5 2018,01:00,Atlas Guadalajara,0-0,0-0,Club León
Apertura,16,Sat Nov 10 2018,02:00,CD Veracruz,2-2,2-0,Gallos Blancos
Apertura,16,Sat Nov 10 2018,04:00,Atlas Guadalajara,0-0,0-0,CF Pachuca
Apertura,16,Sun Nov 11 2018,02:00,Club León,0-1,0-0,Deportivo Guadalajara
Apertura,16,Sun Nov 11 2018,00:00,Cruz Azul,2-1,2-1,Lobos BUAP
Apertura,16,Sun Nov 11 2018,02:00,UANL Tigres,6-1,4-1,Puebla FC
Apertura,16,Sun Nov 11 2018,04:00,Club Necaxa,1-1,0-1,CF Monterrey
Apertura,16,Sun Nov 11 2018,04:00,Club Tijuana,2-3,0-1,Monarcas Morelia
Apertura,16,Sun Nov 11 2018,19:00,Deportivo Toluca,0-1,0-1,Pumas UNAM
Apertura,16,Mon Nov 12 2018,01:00,Santos Laguna,1-1,0-0,CF América
Apertura,17,Sat Nov 24 2018,02:00,Monarcas Morelia,0-2,0-0,Cruz Azul
Apertura,17,Sat Nov 24 2018,04:00,Puebla FC,0-0,0-0,Club Tijuana
Apertura,17,Sun Nov 25 2018,02:00,CF América,4-1,3-1,CD Veracruz
Apertura,17,Sun Nov 25 2018,02:00,CF Pachuca,1-1,1-1,Club León
Apertura,17,Sun Nov 25 2018,00:00,Gallos Blancos,1-0,1-0,Club Necaxa
Apertura,17,Sun Nov 25 2018,04:00,Deportivo Guadalajara,0-1,0-0,UANL Tigres
Apertura,17,Sun Nov 25 2018,04:06,CF Monterrey,3-1,1-0,Atlas Guadalajara
Apertura,17,Sun Nov 25 2018,23:00,Lobos BUAP,2-0,1-0,Deportivo Toluca
Apertura,17,Sun Nov 25 2018,19:00,Pumas UNAM,1-1,0-1,Santos Laguna
Apertura - Liguilla,Quarterfinals,Thu Nov 29 2018,02:00,Gallos Blancos,0-2,0-1,Cruz Azul
Apertura - Liguilla,Quarterfinals,Thu Nov 29 2018,04:06,CF Monterrey,1-0,0-0,Santos Laguna
Apertura - Liguilla,Quarterfinals,Fri Nov 30 2018,02:00,Deportivo Toluca,2-2,1-2,CF América
Apertura - Liguilla,Quarterfinals,Fri Nov 30 2018,04:00,UANL Tigres,2-1,0-1,Pumas UNAM
Apertura - Liguilla,Quarterfinals,Sun Dec 2 2018,02:00,Cruz Azul,1-1,1-0,Gallos Blancos
Apertura - Liguilla,Quarterfinals,Sun Dec 2 2018,04:00,Santos Laguna,0-2,0-0,CF Monterrey
Apertura - Liguilla,Quarterfinals,Sun Dec 2 2018,19:00,Pumas UNAM,3-1,0-0,UANL Tigres
Apertura - Liguilla,Quarterfinals,Mon Dec 3 2018,01:30,CF América,3-2,2-0,Deportivo Toluca
Apertura - Liguilla,Semifinals,Thu Dec 6 2018,03:06,CF Monterrey,1-0,1-0,Cruz Azul
Apertura - Liguilla,Semifinals,Fri Dec 7 2018,03:45,Pumas UNAM,1-1,0-1,CF América
Apertura - Liguilla,Semifinals,Sun Dec 9 2018,02:00,Cruz Azul,1-0,0-0,CF Monterrey
Apertura - Liguilla,Semifinals,Mon Dec 10 2018,01:45,CF América,6-1,3-1,Pumas UNAM
Apertura - Liguilla,Final,Fri Dec 14 2018,03:30,CF América,0-0,0-0,Cruz Azul
Apertura - Liguilla,Final,Mon Dec 17 2018,01:30,Cruz Azul,0-2,0-0,CF América
Clausura,1,Sat Jan 5 2019,04:00,Puebla FC,1-1,1-1,Cruz Azul
Clausura,1,Sat Jan 5 2019,02:00,Monarcas Morelia,1-3,1-2,Deportivo Toluca
