Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
,22,Sun Mar 19 2023,17:00,CET/+0100,SV Ried,0-0,0-0,Wolfsberger AC,,2023-03-19T16:00Z
,22,Sun Mar 19 2023,17:00,CET/+0100,WSG Tirol,0-2,0-0,Sturm Graz,,2023-03-19T16:00Z
,22,Sun Mar 19 2023,17:00,CET/+0100,Austria Lustenau,4-2,2-1,SK Austria Klagenfurt,,2023-03-19T16:00Z
,22,Sun Mar 19 2023,17:00,CET/+0100,Austria Wien,2-0,1-0,Rapid Wien,,2023-03-19T16:00Z
,22,Sun Mar 19 2023,17:00,CET/+0100,RB Salzburg,1-1,0-0,SCR Altach,,2023-03-19T16:00Z
Playoffs - Relegation,23,Fri Mar 31 2023,19:30,CEST/+0200,TSV Hartberg,0-1,0-1,Austria Lustenau,,2023-03-31T17:30Z
Playoffs - Relegation,23,Sat Apr 1 2023,17:00,CEST/+0200,SCR Altach,1-0,0-0,WSG Tirol,,2023-04-01T15:00Z
Playoffs - Relegation,23,Sat Apr 1 2023,17:00,CEST/+0200,Wolfsberger AC,1-0,0-0,SV Ried,,2023-04-01T15:00Z
Playoffs - Championship,23,Sun Apr 2 2023,14:30,CEST/+0200,Austria Wien,2-2,0-0,LASK,,2023-04-02T12:30Z
Playoffs - Championship,23,Sun Apr 2 2023,17:30,CEST/+0200,Sturm Graz,3-1,2-1,Rapid Wien,,2023-04-02T15:30Z
Playoffs - Championship,23,Sun Apr 2 2023,14:30,CEST/+0200,SK Austria Klagenfurt,0-3,0-1,RB Salzburg,,2023-04-02T12:30Z
Playoffs - Relegation,24,Fri Apr 7 2023,19:30,CEST/+0200,WSG Tirol,4-0,3-0,Wolfsberger AC,,2023-04-07T17:30Z
Playoffs - Relegation,24,Sat Apr 8 2023,17:00,CEST/+0200,SV Ried,1-3,0-1,TSV Hartberg,,2023-04-08T15:00Z
Playoffs - Relegation,24,Sat Apr 8 2023,17:00,CEST/+0200,Austria Lustenau,1-0,0-0,SCR Altach,,2023-04-08T15:00Z
Playoffs - Championship,24,Sun Apr 9 2023,17:00,CEST/+0200,LASK,2-1,0-0,Sturm Graz,,2023-04-09T15:00Z
Playoffs - Championship,24,Sun Apr 9 2023,14:30,CEST/+0200,Rapid Wien,3-1,1-0,SK Austria Klagenfurt,,2023-04-09T12:30Z
Playoffs - Championship,24,Sun Apr 9 2023,14:30,CEST/+0200,RB Salzburg,3-3,2-0,Austria Wien,,2023-04-09T12:30Z
Playoffs - Relegation,25,Fri Apr 14 2023,19:30,CEST/+0200,SV Ried,1-1,1-1,WSG Tirol,,2023-04-14T17:30Z
Playoffs - Relegation,25,Sat Apr 15 2023,17:00,CEST/+0200,Austria Lustenau,1-3,1-0,Wolfsberger AC,,2023-04-15T15:00Z
Playoffs - Relegation,25,Sat Apr 15 2023,17:00,CEST/+0200,TSV Hartberg,2-2,0-2,SCR Altach,,2023-04-15T15:00Z
Playoffs - Championship,25,Sun Apr 16 2023,17:00,CEST/+0200,Rapid Wien,3-3,2-2,Austria Wien,,2023-04-16T15:00Z
Playoffs - Championship,25,Sun Apr 16 2023,14:30,CEST/+0200,SK Austria Klagenfurt,0-2,0-0,Sturm Graz,,2023-04-16T12:30Z
Playoffs - Championship,25,Sun Apr 16 2023,14:30,CEST/+0200,RB Salzburg,0-0,0-0,LASK,,2023-04-16T12:30Z
Playoffs - Relegation,26,Fri Apr 21 2023,19:30,CEST/+0200,Wolfsberger AC,2-2,0-1,TSV Hartberg,,2023-04-21T17:30Z
Playoffs - Relegation,26,Sat Apr 22 2023,17:00,CEST/+0200,WSG Tirol,0-2,0-0,Austria Lustenau,,2023-04-22T15:00Z
Playoffs - Relegation,26,Sat Apr 22 2023,17:00,CEST/+0200,SCR Altach,1-1,0-0,SV Ried,,2023-04-22T15:00Z
Playoffs - Championship,26,Sun Apr 23 2023,14:30,CEST/+0200,Austria Wien,1-2,0-0,SK Austria Klagenfurt,,2023-04-23T12:30Z
Playoffs - Championship,26,Sun Apr 23 2023,17:00,CEST/+0200,Sturm Graz,0-2,0-0,RB Salzburg,,2023-04-23T15:00Z
Playoffs - Championship,26,Sun Apr 23 2023,14:30,CEST/+0200,LASK,3-1,2-0,Rapid Wien,,2023-04-23T12:30Z
Playoffs - Championship,27,Wed Apr 26 2023,18:30,CEST/+0200,Sturm Graz,3-2,1-2,Austria Wien,,2023-04-26T16:30Z
